Category1,Source1,Category2,Source2,similarity,PapersInC1,PapersInC2,PapersInBoth,Discripancy
extreme learning machine,OpenAlex,extreme learning machine,OpenAIRE,1.0,23,27,21,0.7241379310344828
argumentation theory,OpenAIRE,argumentation theory,OpenAlex,1.0,16,20,15,0.7142857142857143
argumentation framework,OpenAIRE,argumentation framework,OpenAlex,1.0,3,4,3,0.75
argumentation framework,OpenAlex,argumentation framework,OpenAIRE,1.0,4,3,3,0.75
argumentation theory,OpenAlex,argumentation theory,OpenAIRE,1.0,20,16,15,0.7142857142857143
orbitofrontal cortex,OpenAIRE,orbitofrontal cortex,OpenAlex,1.0,28,27,23,0.71875
orbitofrontal cortex,OpenAlex,orbitofrontal cortex,OpenAIRE,1.0,27,28,23,0.71875
nitrogen fixation,OpenAIRE,nitrogen fixation,OpenAlex,1.0,3,2,2,0.6666666666666666
nitrogen fixation,OpenAlex,nitrogen fixation,OpenAIRE,1.0,2,3,2,0.6666666666666666
wetting,OpenAIRE,wetting,OpenAlex,1.0,6,6,5,0.7142857142857143
contact angle,OpenAIRE,contact angle,OpenAlex,1.0,7,6,5,0.625
dip-coating,OpenAIRE,dip-coating,OpenAlex,1.0,1,1,1,1.0
dip-coating,OpenAlex,dip-coating,OpenAIRE,1.0,1,1,1,1.0
flow shop scheduling,OpenAIRE,flow shop scheduling,OpenAlex,1.0,7,8,6,0.6666666666666666
flow shop scheduling,OpenAlex,flow shop scheduling,OpenAIRE,1.0,8,7,6,0.6666666666666666
wavelet,OpenAIRE,wavelet,OpenAlex,1.0,241,310,213,0.6301775147928994
wavelet,OpenAlex,wavelet,OpenAIRE,1.0,310,241,213,0.6301775147928994
artificial bee colony algorithm,OpenAIRE,artificial bee colony algorithm,OpenAlex,1.0,15,15,13,0.7647058823529411
artificial bee colony algorithm,OpenAlex,artificial bee colony algorithm,OpenAIRE,1.0,15,15,13,0.7647058823529411
openness to experience,OpenAIRE,openness to experience,OpenAlex,1.0,14,19,13,0.65
metagenomics,OpenAlex,metagenomics,OpenAIRE,1.0,31,33,26,0.6842105263157895
illusion,OpenAIRE,illusion,OpenAlex,1.0,29,35,27,0.7297297297297297
illusion,OpenAlex,illusion,OpenAIRE,1.0,35,29,27,0.7297297297297297
equifinality,OpenAIRE,equifinality,OpenAlex,1.0,17,18,14,0.6666666666666666
equifinality,OpenAlex,equifinality,OpenAIRE,1.0,18,17,14,0.6666666666666666
image warping,OpenAIRE,image warping,OpenAlex,1.0,26,34,23,0.6216216216216216
dynamic time warping,OpenAIRE,dynamic time warping,OpenAlex,1.0,29,29,26,0.8125
image warping,OpenAlex,image warping,OpenAIRE,1.0,34,26,23,0.6216216216216216
mindset,OpenAIRE,mindset,OpenAlex,1.0,11,15,11,0.7333333333333333
mindset,OpenAlex,mindset,OpenAIRE,1.0,15,11,11,0.7333333333333333
gesture,OpenAIRE,gesture,OpenAlex,1.0,74,88,63,0.6363636363636364
gesture,OpenAlex,gesture,OpenAIRE,1.0,88,74,63,0.6363636363636364
umami,OpenAIRE,umami,OpenAlex,1.0,2,2,2,1.0
umami,OpenAlex,umami,OpenAIRE,1.0,2,2,2,1.0
public discourse,OpenAIRE,public discourse,OpenAlex,1.0,1,1,1,1.0
public discourse,OpenAlex,public discourse,OpenAIRE,1.0,1,1,1,1.0
suffix,OpenAIRE,suffix,OpenAlex,1.0,5,6,5,0.8333333333333334
suffix,OpenAlex,suffix,OpenAIRE,1.0,6,5,5,0.8333333333333334
median plane,OpenAIRE,median plane,OpenAlex,1.0,1,1,1,1.0
cutoff frequency,OpenAIRE,cutoff frequency,OpenAlex,1.0,2,3,2,0.6666666666666666
cutoff frequency,OpenAlex,cutoff frequency,OpenAIRE,1.0,3,2,2,0.6666666666666666
median plane,OpenAlex,median plane,OpenAIRE,1.0,1,1,1,1.0
friction stir welding,OpenAIRE,friction stir welding,OpenAlex,1.0,2,2,2,1.0
welding,OpenAIRE,welding,OpenAlex,1.0,3,4,3,0.75
welding,OpenAlex,welding,OpenAIRE,1.0,4,3,3,0.75
friction stir welding,OpenAlex,friction stir welding,OpenAIRE,1.0,2,2,2,1.0
deblurring,OpenAIRE,deblurring,OpenAlex,1.0,24,21,18,0.6666666666666666
deblurring,OpenAlex,deblurring,OpenAIRE,1.0,21,24,18,0.6666666666666666
prosocial behavior,OpenAIRE,prosocial behavior,OpenAlex,1.0,23,23,18,0.6428571428571429
sympathy,OpenAIRE,sympathy,OpenAlex,1.0,5,5,4,0.6666666666666666
prosocial behavior,OpenAlex,prosocial behavior,OpenAIRE,1.0,23,23,18,0.6428571428571429
sympathy,OpenAlex,sympathy,OpenAIRE,1.0,5,5,4,0.6666666666666666
structural health monitoring,OpenAIRE,structural health monitoring,OpenAlex,1.0,7,8,6,0.6666666666666666
structural health monitoring,OpenAlex,structural health monitoring,OpenAIRE,1.0,8,7,6,0.6666666666666666
trichromacy,OpenAIRE,trichromacy,OpenAlex,1.0,8,9,7,0.7
photopigment,OpenAIRE,photopigment,OpenAlex,1.0,1,1,1,1.0
photopigment,OpenAlex,photopigment,OpenAIRE,1.0,1,1,1,1.0
trichromacy,OpenAlex,trichromacy,OpenAIRE,1.0,9,8,7,0.7
cruise control,OpenAIRE,cruise control,OpenAlex,1.0,14,17,14,0.8235294117647058
cruise control,OpenAlex,cruise control,OpenAIRE,1.0,17,14,14,0.8235294117647058
vehicle routing problem,OpenAlex,vehicle routing problem,OpenAIRE,1.0,30,22,21,0.6774193548387096
platoon,OpenAIRE,platoon,OpenAlex,1.0,12,12,12,1.0
platoon,OpenAlex,platoon,OpenAIRE,1.0,12,12,12,1.0
artificial immune system,OpenAIRE,artificial immune system,OpenAlex,1.0,10,13,10,0.7692307692307693
artificial immune system,OpenAlex,artificial immune system,OpenAIRE,1.0,13,10,10,0.7692307692307693
optic cup (anatomical),OpenAIRE,optic cup (embryology),OpenAlex,0.9891495778321856,2,2,2,1.0
optic cup (embryology),OpenAlex,optic cup (anatomical),OpenAIRE,0.9891495778321856,2,2,2,1.0
active contour model,OpenAlex,active contour model,OpenAIRE,1.0,21,24,17,0.6071428571428571
tourism,OpenAIRE,tourism,OpenAlex,1.0,48,62,45,0.6923076923076923
technology acceptance model,OpenAIRE,technology acceptance model,OpenAlex,1.0,33,39,28,0.6363636363636364
technology acceptance model,OpenAlex,technology acceptance model,OpenAIRE,1.0,39,33,28,0.6363636363636364
tourism,OpenAlex,tourism,OpenAIRE,1.0,62,48,45,0.6923076923076923
stochastic volatility,OpenAIRE,stochastic volatility,OpenAlex,1.0,10,9,8,0.7272727272727273
stochastic volatility,OpenAlex,stochastic volatility,OpenAIRE,1.0,9,10,8,0.7272727272727273
vehicle routing problem,OpenAIRE,vehicle routing problem,OpenAlex,1.0,22,30,21,0.6774193548387096
daytime,OpenAIRE,daytime,OpenAlex,1.0,1,1,1,1.0
singing,OpenAIRE,singing,OpenAlex,1.0,4,5,4,0.8
daytime,OpenAlex,daytime,OpenAIRE,1.0,1,1,1,1.0
singing,OpenAlex,singing,OpenAIRE,1.0,5,4,4,0.8
water model,OpenAIRE,water model,OpenAlex,1.0,5,5,4,0.6666666666666666
biomolecule,OpenAIRE,biomolecule,OpenAlex,1.0,11,12,9,0.6428571428571429
properties of water,OpenAIRE,properties of water,OpenAlex,1.0,2,2,2,1.0
properties of water,OpenAlex,properties of water,OpenAIRE,1.0,2,2,2,1.0
water model,OpenAlex,water model,OpenAIRE,1.0,5,5,4,0.6666666666666666
distributed leadership,OpenAlex,distributed leadership,OpenAIRE,1.0,4,5,4,0.8
pseudoword,OpenAIRE,pseudoword,OpenAlex,1.0,3,4,3,0.75
pseudoword,OpenAlex,pseudoword,OpenAIRE,1.0,4,3,3,0.75
scale-invariant feature transform,OpenAIRE,scale-invariant feature transform,OpenAlex,1.0,41,43,33,0.6470588235294118
scale-invariant feature transform,OpenAlex,scale-invariant feature transform,OpenAIRE,1.0,43,41,33,0.6470588235294118
kinematics,OpenAIRE,kinematics,OpenAlex,1.0,114,138,96,0.6153846153846154
metabolic syndrome,OpenAIRE,metabolic syndrome,OpenAlex,1.0,3,2,2,0.6666666666666666
metabolic syndrome,OpenAlex,metabolic syndrome,OpenAIRE,1.0,2,3,2,0.6666666666666666
gerrymandering,OpenAIRE,gerrymandering,OpenAlex,1.0,1,1,1,1.0
gerrymandering,OpenAlex,gerrymandering,OpenAIRE,1.0,1,1,1,1.0
model predictive control,OpenAIRE,model predictive control,OpenAlex,1.0,95,90,76,0.6972477064220184
model predictive control,OpenAlex,model predictive control,OpenAIRE,1.0,90,95,76,0.6972477064220184
pulse-width modulation,OpenAlex,pulse-width modulation,OpenAIRE,1.0,36,41,30,0.6382978723404256
photon entanglement,OpenAIRE,photon entanglement,OpenAlex,1.0,1,1,1,1.0
photon entanglement,OpenAlex,photon entanglement,OpenAIRE,1.0,1,1,1,1.0
explanatory power,OpenAIRE,explanatory power,OpenAlex,1.0,12,17,11,0.6111111111111112
explanatory power,OpenAlex,explanatory power,OpenAIRE,1.0,17,12,11,0.6111111111111112
distributed generation,OpenAIRE,distributed generation,OpenAlex,1.0,48,53,39,0.6290322580645161
sizing,OpenAIRE,sizing,OpenAlex,1.0,8,13,8,0.6153846153846154
sizing,OpenAlex,sizing,OpenAIRE,1.0,13,8,8,0.6153846153846154
distributed generation,OpenAlex,distributed generation,OpenAIRE,1.0,53,48,39,0.6290322580645161
intrusion detection system,OpenAIRE,intrusion detection system,OpenAlex,1.0,50,53,44,0.7457627118644068
intrusion detection system,OpenAlex,intrusion detection system,OpenAIRE,1.0,53,50,44,0.7457627118644068
conceptualization,OpenAIRE,conceptualization,OpenAlex,1.0,370,514,345,0.640074211502783
conceptualization,OpenAlex,conceptualization,OpenAIRE,1.0,514,370,345,0.640074211502783
edgeworth series,OpenAIRE,edgeworth series,OpenAlex,1.0,1,1,1,1.0
edgeworth series,OpenAlex,edgeworth series,OpenAIRE,1.0,1,1,1,1.0
frame problem,OpenAIRE,frame problem,OpenAlex,1.0,2,3,2,0.6666666666666666
frame problem,OpenAlex,frame problem,OpenAIRE,1.0,3,2,2,0.6666666666666666
resolution of singularities,OpenAIRE,resolution of singularities,OpenAlex,1.0,2,2,2,1.0
algebraic variety,OpenAIRE,algebraic variety,OpenAlex,1.0,2,2,2,1.0
resolution of singularities,OpenAlex,resolution of singularities,OpenAIRE,1.0,2,2,2,1.0
algebraic variety,OpenAlex,algebraic variety,OpenAIRE,1.0,2,2,2,1.0
ciliary body,OpenAIRE,ciliary body,OpenAlex,1.0,2,2,2,1.0
anterior eye segment,OpenAIRE,anterior eye segment,OpenAlex,1.0,2,2,2,1.0
ciliary body,OpenAlex,ciliary body,OpenAIRE,1.0,2,2,2,1.0
anterior eye segment,OpenAlex,anterior eye segment,OpenAIRE,1.0,2,2,2,1.0
overfitting,OpenAIRE,overfitting,OpenAlex,1.0,85,97,70,0.625
interactivity,OpenAIRE,interactivity,OpenAlex,1.0,15,17,13,0.6842105263157895
interactivity,OpenAlex,interactivity,OpenAIRE,1.0,17,15,13,0.6842105263157895
exponential smoothing,OpenAIRE,exponential smoothing,OpenAlex,1.0,9,8,8,0.8888888888888888
exponential smoothing,OpenAlex,exponential smoothing,OpenAIRE,1.0,8,9,8,0.8888888888888888
autism,OpenAIRE,autism,OpenAlex,1.0,37,41,30,0.625
autism,OpenAlex,autism,OpenAIRE,1.0,41,37,30,0.625
digital watermarking,OpenAIRE,digital watermarking,OpenAlex,1.0,37,39,31,0.6888888888888889
watermark,OpenAIRE,watermark,OpenAlex,1.0,20,22,18,0.75
watermark,OpenAlex,watermark,OpenAIRE,1.0,22,20,18,0.75
digital watermarking,OpenAlex,digital watermarking,OpenAIRE,1.0,39,37,31,0.6888888888888889
quantile regression,OpenAlex,quantile,OpenAIRE,0.9174814467733052,10,13,9,0.6428571428571429
nucleus accumbens,OpenAIRE,nucleus accumbens,OpenAlex,1.0,18,16,14,0.7
nucleus accumbens,OpenAlex,nucleus accumbens,OpenAIRE,1.0,16,18,14,0.7
hyperspectral imaging,OpenAIRE,hyperspectral imaging,OpenAlex,1.0,97,124,91,0.7
hyperspectral imaging,OpenAlex,hyperspectral imaging,OpenAIRE,1.0,124,97,91,0.7
biological integrity,OpenAlex,biological integrity,OpenAIRE,1.0,2,3,2,0.6666666666666666
masonry,OpenAlex,masonry,OpenAIRE,1.0,2,3,2,0.6666666666666666
delphi method,OpenAlex,delphi method,OpenAIRE,1.0,111,81,79,0.6991150442477876
ionic conductive hydrogel,OpenAIRE,ionic conductivity,OpenAlex,0.933207811262288,1,1,1,1.0
ionic conductivity,OpenAlex,ionic conductive hydrogel,OpenAIRE,0.933207811262288,1,1,1,1.0
numerosity adaptation effect,OpenAIRE,numerosity adaptation effect,OpenAlex,1.0,9,12,8,0.6153846153846154
numerosity adaptation effect,OpenAlex,numerosity adaptation effect,OpenAIRE,1.0,12,9,8,0.6153846153846154
jamming,OpenAIRE,jamming,OpenAlex,1.0,11,10,8,0.6153846153846154
synthetic aperture radar,OpenAlex,synthetic aperture radar,OpenAIRE,1.0,59,66,52,0.7123287671232876
jamming,OpenAlex,jamming,OpenAIRE,1.0,10,11,8,0.6153846153846154
cronbach's alpha,OpenAIRE,cronbach's alpha,OpenAlex,1.0,15,16,12,0.631578947368421
timeline,OpenAIRE,timeline,OpenAlex,1.0,8,10,8,0.8
timeline,OpenAlex,timeline,OpenAIRE,1.0,10,8,8,0.8
thresholding,OpenAIRE,thresholding,OpenAlex,1.0,90,96,71,0.6173913043478261
oncorhynchus,OpenAIRE,oncorhynchus,OpenAlex,1.0,2,2,2,1.0
semelparity and iteroparity,OpenAIRE,semelparity and iteroparity,OpenAlex,1.0,3,3,3,1.0
spawn (biology),OpenAIRE,spawn (biology),OpenAlex,1.0,1,1,1,1.0
oncorhynchus,OpenAlex,oncorhynchus,OpenAIRE,1.0,2,2,2,1.0
spawn (biology),OpenAlex,spawn (biology),OpenAIRE,1.0,1,1,1,1.0
semelparity and iteroparity,OpenAlex,semelparity and iteroparity,OpenAIRE,1.0,3,3,3,1.0
granger causality,OpenAIRE,granger causality,OpenAlex,1.0,10,9,8,0.7272727272727273
independent component analysis,OpenAIRE,independent component analysis,OpenAlex,1.0,73,67,56,0.6666666666666666
granger causality,OpenAlex,granger causality,OpenAIRE,1.0,9,10,8,0.7272727272727273
stock exchange,OpenAIRE,stock exchange,OpenAlex,1.0,12,8,8,0.6666666666666666
stock exchange,OpenAlex,stock exchange,OpenAIRE,1.0,8,12,8,0.6666666666666666
independent component analysis,OpenAlex,independent component analysis,OpenAIRE,1.0,67,73,56,0.6666666666666666
identifiability,OpenAlex,identifiability,OpenAIRE,1.0,14,16,13,0.7647058823529411
orthogonal frequency-division multiplexing,OpenAIRE,orthogonal frequency-division multiplexing,OpenAlex,1.0,14,9,9,0.6428571428571429
orthogonal frequency-division multiplexing,OpenAlex,orthogonal frequency-division multiplexing,OpenAIRE,1.0,9,14,9,0.6428571428571429
wind power,OpenAIRE,wind power,OpenAlex,1.0,65,66,55,0.7236842105263158
wind power,OpenAlex,wind power,OpenAIRE,1.0,66,65,55,0.7236842105263158
steganography,OpenAIRE,steganography,OpenAlex,1.0,33,36,30,0.7692307692307693
steganography,OpenAlex,steganography,OpenAIRE,1.0,36,33,30,0.7692307692307693
coprime integers,OpenAIRE,coprime integers,OpenAlex,1.0,5,6,5,0.8333333333333334
coprime integers,OpenAlex,coprime integers,OpenAIRE,1.0,6,5,5,0.8333333333333334
breast ultrasound,OpenAIRE,breast ultrasound,OpenAlex,1.0,2,3,2,0.6666666666666666
breast ultrasound,OpenAlex,breast ultrasound,OpenAIRE,1.0,3,2,2,0.6666666666666666
sky,OpenAIRE,sky,OpenAlex,1.0,13,19,13,0.6842105263157895
sky,OpenAlex,sky,OpenAIRE,1.0,19,13,13,0.6842105263157895
freeze-drying,OpenAIRE,freeze-drying,OpenAlex,1.0,1,1,1,1.0
vacuum drying,OpenAIRE,vacuum drying,OpenAlex,1.0,1,1,1,1.0
freeze-drying,OpenAlex,freeze-drying,OpenAIRE,1.0,1,1,1,1.0
vacuum drying,OpenAlex,vacuum drying,OpenAIRE,1.0,1,1,1,1.0
square lattice,OpenAIRE,square lattice,OpenAlex,1.0,3,4,3,0.75
percolation threshold,OpenAIRE,percolation threshold,OpenAlex,1.0,4,6,4,0.6666666666666666
percolation threshold,OpenAlex,percolation threshold,OpenAIRE,1.0,6,4,4,0.6666666666666666
square lattice,OpenAlex,square lattice,OpenAIRE,1.0,4,3,3,0.75
ant colony optimization algorithms,OpenAIRE,ant colony optimization algorithms,OpenAlex,1.0,28,30,22,0.6111111111111112
ant colony optimization algorithms,OpenAlex,ant colony optimization algorithms,OpenAIRE,1.0,30,28,22,0.6111111111111112
human-computer interaction in information security,OpenAIRE,human-computer interaction in information security,OpenAlex,1.0,1,1,1,1.0
human-computer interaction in information security,OpenAlex,human-computer interaction in information security,OpenAIRE,1.0,1,1,1,1.0
postmodernism,OpenAIRE,postmodernism,OpenAlex,1.0,4,6,4,0.6666666666666666
postmodernism,OpenAlex,postmodernism,OpenAIRE,1.0,6,4,4,0.6666666666666666
thermoregulation,OpenAIRE,thermoregulation,OpenAlex,1.0,4,3,3,0.75
thermoregulation,OpenAlex,thermoregulation,OpenAIRE,1.0,3,4,3,0.75
backstepping,OpenAIRE,backstepping,OpenAlex,1.0,41,43,33,0.6470588235294118
lyapunov function,OpenAIRE,lyapunov function,OpenAlex,1.0,133,137,106,0.6463414634146342
lyapunov function,OpenAlex,lyapunov function,OpenAIRE,1.0,137,133,106,0.6463414634146342
backstepping,OpenAlex,backstepping,OpenAIRE,1.0,43,41,33,0.6470588235294118
dither,OpenAIRE,dither,OpenAlex,1.0,7,11,7,0.6363636363636364
pulse-width modulation,OpenAIRE,pulse-width modulation,OpenAlex,1.0,41,36,30,0.6382978723404256
converters,OpenAIRE,converters,OpenAlex,1.0,32,37,26,0.6046511627906976
delta-sigma modulation,OpenAIRE,delta-sigma modulation,OpenAlex,1.0,2,2,2,1.0
converters,OpenAlex,converters,OpenAIRE,1.0,37,32,26,0.6046511627906976
delta-sigma modulation,OpenAlex,delta-sigma modulation,OpenAIRE,1.0,2,2,2,1.0
dither,OpenAlex,dither,OpenAIRE,1.0,11,7,7,0.6363636363636364
dynamical friction,OpenAIRE,dynamical friction,OpenAlex,1.0,3,3,3,1.0
dynamical friction,OpenAlex,dynamical friction,OpenAIRE,1.0,3,3,3,1.0
flipped classroom,OpenAIRE,flipped classroom,OpenAlex,1.0,13,13,12,0.8571428571428571
flipped classroom,OpenAlex,flipped classroom,OpenAIRE,1.0,13,13,12,0.8571428571428571
metadata,OpenAIRE,metadata,OpenAlex,1.0,15,19,14,0.7
rough set,OpenAIRE,rough set,OpenAlex,1.0,51,54,46,0.7796610169491526
soft set,OpenAIRE,soft set,OpenAlex,1.0,14,12,11,0.7333333333333333
soft set,OpenAlex,soft set,OpenAIRE,1.0,12,14,11,0.7333333333333333
rough set,OpenAlex,rough set,OpenAIRE,1.0,54,51,46,0.7796610169491526
string metric,OpenAIRE,string metric,OpenAlex,1.0,7,5,5,0.7142857142857143
string metric,OpenAlex,string metric,OpenAIRE,1.0,5,7,5,0.7142857142857143
cyclostationary process,OpenAIRE,cyclostationary process,OpenAlex,1.0,8,7,7,0.875
cyclostationary process,OpenAlex,cyclostationary process,OpenAIRE,1.0,7,8,7,0.875
underwater,OpenAIRE,underwater,OpenAlex,1.0,27,26,21,0.65625
image fusion,OpenAIRE,image fusion,OpenAlex,1.0,60,60,46,0.6216216216216216
image fusion,OpenAlex,image fusion,OpenAIRE,1.0,60,60,46,0.6216216216216216
underwater,OpenAlex,underwater,OpenAIRE,1.0,26,27,21,0.65625
land cover,OpenAIRE,land cover,OpenAlex,1.0,46,48,36,0.6206896551724138
