Category1,Source1,Category2,Source2,Similarity,PapersInC1,PapersInC2,PapersInBoth,Agreement
computational biology,OpenAIRE,computational biology,OpenAlex,1.0,1698,2330,1086,0.3691366417403127
mathematics,OpenAIRE,mathematics,OpenAlex,1.0,18266,46877,15851,0.3215734804836485
genetics,OpenAIRE,genetics,OpenAlex,1.0,3057,5799,2353,0.3618330001537752
monocular vision,OpenAIRE,monocular vision,OpenAlex,1.0,22,20,8,0.2352941176470588
biology,OpenAIRE,biology,OpenAlex,1.0,7261,27030,6527,0.2350886039475579
statistics,OpenAIRE,statistics,OpenAlex,1.0,2714,17024,2268,0.1298225529479107
peptide sequence,OpenAIRE,peptide sequence,OpenAlex,1.0,112,326,42,0.106060606060606
recurrent neural network,OpenAIRE,recurrent neural network,OpenAlex,1.0,596,557,295,0.3438228438228438
backpropagation,OpenAIRE,backpropagation,OpenAlex,1.0,395,367,238,0.4541984732824427
term (time),OpenAIRE,term (time),OpenAlex,1.0,361,491,163,0.2365747460087083
physics,OpenAIRE,physics,OpenAlex,1.0,3578,31946,3265,0.1012120648501193
theory of planned behavior,OpenAIRE,theory of planned behavior,OpenAlex,1.0,178,215,164,0.7161572052401747
psychology,OpenAIRE,psychology,OpenAlex,1.0,15018,27891,14244,0.4969126111983254
sketch recognition,OpenAIRE,sketch recognition,OpenAlex,1.0,13,13,6,0.3
trainer,OpenAIRE,trainer,OpenAlex,1.0,9,17,8,0.4444444444444444
expectancy theory,OpenAIRE,expectancy theory,OpenAlex,1.0,44,78,38,0.4523809523809524
normative,OpenAIRE,normative,OpenAlex,1.0,239,371,203,0.4987714987714988
variance (accounting),OpenAIRE,variance (accounting),OpenAlex,1.0,365,659,267,0.3527080581241744
social psychology,OpenAIRE,social psychology,OpenAlex,1.0,6156,8919,4208,0.3872273856630164
perception,OpenAIRE,perception,OpenAlex,1.0,2485,4102,1906,0.4071779534287545
control (management),OpenAIRE,control (management),OpenAlex,1.0,1499,12278,1253,0.1000479080166081
cognitive psychology,OpenAIRE,cognitive psychology,OpenAlex,1.0,4062,8378,3444,0.3828368163628279
accounting,OpenAIRE,accounting,OpenAlex,1.0,560,1158,230,0.1545698924731182
psychology,OpenAIRE,neuroscience,OpenAlex,1.0000000315662831,15018,12903,6963,0.3322359003721729
neuroscience,OpenAIRE,neuroscience,OpenAlex,1.0,2803,12903,2493,0.1886778173011428
business,OpenAIRE,business,OpenAlex,1.0,50194,8525,5621,0.1058608610493803
jury,OpenAIRE,jury,OpenAlex,1.0,6,8,3,0.2727272727272727
many-valued logic,OpenAIRE,many-valued logic,OpenAlex,1.0,20,9,3,0.1153846153846153
truth value,OpenAIRE,truth value,OpenAlex,1.0,17,17,6,0.2142857142857142
ellipsis (linguistics),OpenAIRE,ellipsis (linguistics),OpenAlex,1.0,9,7,3,0.2307692307692307
convolutional neural network,OpenAIRE,convolutional neural network,OpenAlex,1.0,1607,2156,1491,0.65625
feature learning,OpenAIRE,feature learning,OpenAlex,1.0,325,288,100,0.1949317738791423
speech recognition,OpenAIRE,speech recognition,OpenAlex,1.0,1940,2420,1321,0.4346824613359658
bioacoustics,OpenAIRE,bioacoustics,OpenAlex,1.0,23,25,11,0.2972972972972973
spherical aberration,OpenAIRE,spherical aberration,OpenAlex,1.0,12,19,9,0.4090909090909091
cognitive bias,OpenAIRE,cognitive bias,OpenAlex,1.0,64,39,15,0.1704545454545454
cognition,OpenAIRE,cognition,OpenAlex,1.0,3641,5218,2467,0.3859511889862328
behavioural sciences,OpenAIRE,behavioural sciences,OpenAlex,1.0,99,38,14,0.1138211382113821
management science,OpenAIRE,management science,OpenAlex,1.0,1268,2845,870,0.2682701202590194
assertiveness,OpenAIRE,assertiveness,OpenAlex,1.0,12,8,6,0.4285714285714285
motivated reasoning,OpenAIRE,motivated reasoning,OpenAlex,1.0,6,10,3,0.2307692307692307
electromagnetic compatibility,OpenAIRE,electromagnetic compatibility,OpenAlex,1.0,6,9,4,0.3636363636363636
computer graphics (images),OpenAIRE,computer graphics (images),OpenAlex,1.0,456,1649,382,0.2217063261752757
scripting language,OpenAIRE,scripting language,OpenAlex,1.0,64,99,52,0.4684684684684684
visualization,OpenAIRE,visualization,OpenAlex,1.0,1013,1111,567,0.3641618497109826
rendering (computer graphics),OpenAIRE,rendering (computer graphics),OpenAlex,1.0,228,345,184,0.4730077120822622
molecular graphics,OpenAIRE,molecular graphics,OpenAlex,1.0,9,7,5,0.4545454545454545
python (programming language),OpenAIRE,python (programming language),OpenAlex,1.0,78,114,67,0.536
graphics,OpenAIRE,graphics,OpenAlex,1.0,208,302,106,0.2623762376237624
computer graphics,OpenAIRE,computer graphics,OpenAlex,1.0,564,294,154,0.21875
computational science,OpenAIRE,computational science,OpenAlex,1.0,117,231,60,0.2083333333333333
watermarking attack,OpenAIRE,watermarking attack,OpenAlex,1.0,18,10,5,0.217391304347826
intelligent character recognition,OpenAIRE,intelligent character recognition,OpenAlex,1.0,31,25,9,0.1914893617021276
handwriting recognition,OpenAIRE,handwriting recognition,OpenAlex,1.0,63,43,31,0.4133333333333333
transformer,OpenAIRE,transformer,OpenAlex,1.0,76,216,65,0.2863436123348017
preprocessor,OpenAIRE,preprocessor,OpenAlex,1.0,210,527,171,0.3021201413427561
handwriting,OpenAIRE,handwriting,OpenAlex,1.0,91,92,60,0.4878048780487805
graph,OpenAIRE,graph,OpenAlex,1.0,314,1409,247,0.1673441734417344
optical character recognition,OpenAIRE,optical character recognition,OpenAlex,1.0,80,57,34,0.3300970873786408
feature extraction,OpenAIRE,feature extraction,OpenAlex,1.0,2276,1523,966,0.340981291916696
differential item functioning,OpenAIRE,differential item functioning,OpenAlex,1.0,9,7,5,0.4545454545454545
theoretical computer science,OpenAIRE,theoretical computer science,OpenAlex,1.0,3733,4336,1552,0.2381463863740985
voltage,OpenAIRE,voltage,OpenAlex,1.0,486,2165,431,0.1941441441441441
statistical mechanics,OpenAIRE,statistical mechanics,OpenAlex,1.0,104,72,38,0.2753623188405797
simulated annealing,OpenAIRE,simulated annealing,OpenAlex,1.0,185,180,136,0.5938864628820961
analogy,OpenAIRE,analogy,OpenAlex,1.0,134,166,90,0.4285714285714285
optimization problem,OpenAIRE,optimization problem,OpenAlex,1.0,735,562,234,0.2201317027281279
mathematical optimization,OpenAIRE,mathematical optimization,OpenAlex,1.0,3954,6629,3022,0.3996825816690914
skeletonization,OpenAIRE,skeletonization,OpenAlex,1.0,22,20,17,0.68
extremal optimization,OpenAIRE,extremal optimization,OpenAlex,1.0,8,15,5,0.2777777777777778
multivariate statistics,OpenAIRE,multivariate statistics,OpenAlex,1.0,427,788,327,0.3682432432432432
statistical physics,OpenAIRE,statistical physics,OpenAlex,1.0,1135,2553,928,0.336231884057971
complex system,OpenAIRE,complex system,OpenAlex,1.0,477,672,269,0.3056818181818181
multi-swarm optimization,OpenAIRE,multi-swarm optimization,OpenAlex,1.0,164,158,92,0.4
linguistics,OpenAIRE,linguistics,OpenAlex,1.0,1934,10808,1737,0.1578373466606088
contingency management,OpenAIRE,contingency management,OpenAlex,1.0,8,6,2,0.1666666666666666
jpeg,OpenAIRE,jpeg,OpenAlex,1.0,90,95,63,0.5163934426229508
human visual system model,OpenAIRE,human visual system model,OpenAlex,1.0,183,106,57,0.2456896551724137
image quality,OpenAIRE,image quality,OpenAlex,1.0,556,532,314,0.4056847545219638
visibility,OpenAIRE,visibility,OpenAlex,1.0,26,154,21,0.1320754716981132
computer vision,OpenAIRE,computer vision,OpenAlex,1.0,6740,11493,5767,0.4626183218353922
structural similarity,OpenAIRE,structural similarity,OpenAlex,1.0,30,53,9,0.1216216216216216
image compression,OpenAIRE,image compression,OpenAlex,1.0,132,169,69,0.2974137931034483
transform coding,OpenAIRE,transform coding,OpenAlex,1.0,139,87,54,0.313953488372093
image processing,OpenAIRE,image processing,OpenAlex,1.0,2466,1988,747,0.2015106555165902
discrete cosine transform,OpenAIRE,discrete cosine transform,OpenAlex,1.0,149,177,107,0.4885844748858447
optics,OpenAIRE,optics,OpenAlex,1.0,2056,6494,1585,0.2275664034458004
inverse system,OpenAIRE,inverse system,OpenAlex,1.0,11,8,3,0.1875
phylogenetic tree,OpenAIRE,phylogenetic tree,OpenAlex,1.0,308,477,273,0.533203125
mega-,OpenAIRE,mega-,OpenAlex,1.0,7,7,5,0.5555555555555556
phylogenetics,OpenAIRE,phylogenetics,OpenAlex,1.0,275,418,153,0.2833333333333333
inference,OpenAIRE,inference,OpenAlex,1.0,1678,3251,1488,0.4324324324324324
human evolutionary genetics,OpenAIRE,human evolutionary genetics,OpenAlex,1.0,36,57,10,0.1204819277108433
graphical user interface,OpenAIRE,graphical user interface,OpenAlex,1.0,71,82,35,0.2966101694915254
evolutionary biology,OpenAIRE,evolutionary biology,OpenAlex,1.0,2333,5473,1384,0.2155091871691062
appetite,OpenAIRE,appetite,OpenAlex,1.0,11,6,4,0.3076923076923077
interaction network,OpenAIRE,interaction network,OpenAlex,1.0,31,20,7,0.1590909090909091
gene regulatory network,OpenAIRE,gene regulatory network,OpenAlex,1.0,110,103,55,0.3481012658227848
biological network,OpenAIRE,biological network,OpenAlex,1.0,91,125,48,0.2857142857142857
systems biology,OpenAIRE,systems biology,OpenAlex,1.0,181,122,63,0.2625
plug-in,OpenAIRE,plug-in,OpenAlex,1.0,13,33,12,0.3529411764705882
monopoly,OpenAIRE,oligopoly,OpenAlex,1.0000000035807974,16,12,3,0.12
oligopoly,OpenAIRE,oligopoly,OpenAlex,1.0,13,12,9,0.5625
bioinformatics,OpenAIRE,bioinformatics,OpenAlex,1.0,1428,750,220,0.1123595505617977
gene expression,OpenAIRE,gene expression,OpenAlex,1.0,246,509,111,0.1723602484472049
pooling,OpenAIRE,pooling,OpenAlex,1.0,239,503,229,0.4463937621832358
covariate,OpenAIRE,covariate,OpenAlex,1.0,176,237,146,0.5468164794007491
clinical trial,OpenAIRE,clinical trial,OpenAlex,1.0,206,186,114,0.4100719424460431
homogeneity (statistics),OpenAIRE,homogeneity (statistics),OpenAlex,1.0,40,69,30,0.379746835443038
random effects model,OpenAIRE,random effects model,OpenAlex,1.0,101,72,46,0.3622047244094488
treatment effect,OpenAIRE,treatment effect,OpenAlex,1.0,10,10,3,0.1764705882352941
economics,OpenAIRE,econometrics,OpenAlex,1.0000000110539065,3687,3780,1001,0.1548097742035261
econometrics,OpenAIRE,econometrics,OpenAlex,1.0,2634,3780,1699,0.36033934252386
medicine,OpenAIRE,medicine,OpenAlex,1.0,12215,13454,6913,0.3685753892087865
harmony search,OpenAIRE,harmony search,OpenAlex,1.0,20,26,19,0.7037037037037037
traditional medicine,OpenAIRE,traditional medicine,OpenAlex,1.0,20,45,13,0.25
conflict management,OpenAIRE,conflict management,OpenAlex,1.0,18,12,5,0.2
distancing,OpenAIRE,distancing,OpenAlex,1.0,14,15,12,0.7058823529411765
variety (cybernetics),OpenAIRE,variety (cybernetics),OpenAlex,1.0,2635,6353,2448,0.3743119266055046
psychopathology,OpenAIRE,psychopathology,OpenAlex,1.0,131,154,96,0.5079365079365079
medical diagnosis,OpenAIRE,medical diagnosis,OpenAlex,1.0,171,117,75,0.352112676056338
rating scale,OpenAIRE,rating scale,OpenAlex,1.0,65,84,26,0.2113821138211382
clinical psychology,OpenAIRE,clinical psychology,OpenAlex,1.0,1191,1320,521,0.2618090452261306
psychiatry,OpenAIRE,psychiatry,OpenAlex,1.0,794,2561,485,0.1689895470383275
developmental psychology,OpenAIRE,developmental psychology,OpenAlex,1.0,2199,3130,1478,0.3837964165151908
margin (machine learning),OpenAIRE,margin (machine learning),OpenAlex,1.0,134,263,101,0.3412162162162162
sliding window protocol,OpenAIRE,sliding window protocol,OpenAlex,1.0,45,52,25,0.3472222222222222
image segmentation,OpenAIRE,image segmentation,OpenAlex,1.0,1377,1328,778,0.4037363777893098
window (computing),OpenAIRE,window (computing),OpenAlex,1.0,44,128,30,0.2112676056338028
false discovery rate,OpenAIRE,false discovery rate,OpenAlex,1.0,77,84,56,0.5333333333333333
multiple comparisons problem,OpenAIRE,multiple comparisons problem,OpenAlex,1.0,83,86,45,0.3629032258064516
word error rate,OpenAIRE,word error rate,OpenAlex,1.0,231,193,106,0.3333333333333333
statistical hypothesis testing,OpenAIRE,statistical hypothesis testing,OpenAlex,1.0,501,426,175,0.2327127659574468
type i and type ii errors,OpenAIRE,type i and type ii errors,OpenAlex,1.0,62,69,35,0.3645833333333333
statistical power,OpenAIRE,statistical power,OpenAlex,1.0,93,127,40,0.2222222222222222
squid,OpenAIRE,squid,OpenAlex,1.0,17,18,13,0.5909090909090909
annotation,OpenAIRE,annotation,OpenAlex,1.0,258,613,230,0.358814352574103
identifier,OpenAIRE,identifier,OpenAlex,1.0,39,117,29,0.2283464566929134
gene annotation,OpenAIRE,gene annotation,OpenAlex,1.0,10,32,5,0.1351351351351351
cluster sampling,OpenAIRE,cluster sampling,OpenAlex,1.0,6,6,3,0.3333333333333333
cluster analysis,OpenAIRE,cluster analysis,OpenAlex,1.0,2141,2203,1551,0.5553168635875403
genome,OpenAIRE,genome,OpenAlex,1.0,566,949,415,0.3772727272727272
upload,OpenAIRE,upload,OpenAlex,1.0,33,65,27,0.380281690140845
table (database),OpenAIRE,table (database),OpenAlex,1.0,82,132,45,0.2662721893491124
protocol (science),OpenAIRE,protocol (science),OpenAlex,1.0,79,264,48,0.1627118644067796
gene prediction,OpenAIRE,gene prediction,OpenAlex,1.0,27,25,14,0.3684210526315789
biological data,OpenAIRE,biological data,OpenAlex,1.0,68,49,13,0.125
particle swarm optimization,OpenAIRE,particle swarm optimization,OpenAlex,1.0,407,544,377,0.6567944250871081
metaheuristic,OpenAIRE,metaheuristic,OpenAlex,1.0,308,291,196,0.4863523573200992
nonlinear system,OpenAIRE,nonlinear system,OpenAlex,1.0,2295,4160,1847,0.4008246527777778
meta-optimization,OpenAIRE,meta-optimization,OpenAlex,1.0,105,121,44,0.2417582417582417
parallel metaheuristic,OpenAIRE,parallel metaheuristic,OpenAlex,1.0,36,52,20,0.2941176470588235
swarm intelligence,OpenAIRE,swarm intelligence,OpenAlex,1.0,154,107,76,0.4108108108108108
swarm behaviour,OpenAIRE,swarm behaviour,OpenAlex,1.0,131,200,100,0.4329004329004329
perfusion,OpenAIRE,perfusion,OpenAlex,1.0,35,38,20,0.3773584905660377
perfusion scanning,OpenAIRE,perfusion scanning,OpenAlex,1.0,17,12,5,0.2083333333333333
ecosystem diversity,OpenAIRE,ecosystem diversity,OpenAlex,1.0,9,6,3,0.25
categorical variable,OpenAIRE,categorical variable,OpenAlex,1.0,212,297,175,0.5239520958083832
cognitive neuroscience of visual object recognition,OpenAIRE,cognitive neuroscience of visual object recognition,OpenAlex,1.0,669,524,292,0.3240843507214206
d single-object recognition,OpenAIRE,d single-object recognition,OpenAlex,1.0,64,24,13,0.1733333333333333
conditional variance,OpenAIRE,conditional variance,OpenAlex,1.0,11,10,2,0.1052631578947368
architecture,OpenAIRE,architecture,OpenAlex,1.0,334,520,144,0.2028169014084507
intuition,OpenAIRE,intuition,OpenAlex,1.0,81,147,44,0.2391304347826087
transfer rna,OpenAIRE,transfer rna,OpenAlex,1.0,14,10,7,0.4117647058823529
geology,OpenAIRE,geology,OpenAlex,1.0,771,3682,546,0.1397491681597133
absorptive capacity,OpenAIRE,absorptive capacity,OpenAlex,1.0,37,32,26,0.6046511627906976
perspective (graphical),OpenAIRE,perspective (graphical),OpenAlex,1.0,3611,8707,3423,0.384822934232715
knowledge management,OpenAIRE,knowledge management,OpenAlex,1.0,1757,3313,1351,0.3632696961548803
sociology,OpenAIRE,sociology,OpenAlex,1.0,3681,12341,2800,0.2117682650128573
forearm,OpenAIRE,forearm,OpenAlex,1.0,36,29,18,0.3829787234042553
support vector machine,OpenAIRE,support vector machine,OpenAlex,1.0,1840,2411,1471,0.529136690647482
popularity,OpenAIRE,popularity,OpenAlex,1.0,180,299,155,0.4783950617283951
selection (genetic algorithm),OpenAIRE,selection (genetic algorithm),OpenAlex,1.0,2348,6819,2195,0.3148307515777395
vorticity,OpenAIRE,vorticity,OpenAlex,1.0,16,9,5,0.25
multiclass classification,OpenAIRE,multiclass classification,OpenAlex,1.0,59,52,28,0.3373493975903614
situated,OpenAIRE,situated,OpenAlex,1.0,348,655,336,0.5037481259370314
situated learning,OpenAIRE,situated learning,OpenAlex,1.0,48,65,32,0.3950617283950617
sociocultural evolution,OpenAIRE,sociocultural evolution,OpenAlex,1.0,102,125,67,0.41875
social learning,OpenAIRE,social learning,OpenAlex,1.0,148,86,42,0.21875
community of practice,OpenAIRE,community of practice,OpenAlex,1.0,20,18,7,0.2258064516129032
pedagogy,OpenAIRE,pedagogy,OpenAlex,1.0,977,2990,710,0.2179920171937365
mediation,OpenAIRE,mediation,OpenAlex,1.0,42,110,31,0.256198347107438
helpfulness,OpenAIRE,helpfulness,OpenAlex,1.0,15,17,14,0.7777777777777778
lisrel,OpenAIRE,lisrel,OpenAlex,1.0,37,39,28,0.5833333333333334
structural equation modeling,OpenAIRE,structural equation modeling,OpenAlex,1.0,296,529,234,0.3959390862944162
resampling,OpenAIRE,resampling,OpenAlex,1.0,127,154,92,0.4867724867724867
latent variable,OpenAIRE,latent variable,OpenAlex,1.0,186,268,123,0.3716012084592145
cross-cultural psychology,OpenAIRE,cross-cultural psychology,OpenAlex,1.0,14,7,4,0.2352941176470588
edge detection,OpenAIRE,edge detection,OpenAlex,1.0,369,186,122,0.2817551963048499
detector,OpenAIRE,detector,OpenAlex,1.0,473,1108,350,0.2843216896831844
computation,OpenAIRE,computation,OpenAlex,1.0,831,1673,614,0.3248677248677248
image gradient,OpenAIRE,image gradient,OpenAlex,1.0,59,30,15,0.2027027027027027
gaussian,OpenAIRE,gaussian,OpenAlex,1.0,462,959,323,0.2941712204007286
deriche edge detector,OpenAIRE,deriche edge detector,OpenAlex,1.0,15,19,12,0.5454545454545454
cauchy problem,OpenAIRE,cauchy problem,OpenAlex,1.0,18,16,10,0.4166666666666667
natural language processing,OpenAIRE,natural language processing,OpenAlex,1.0,2404,4233,1979,0.4248604551309575
human-computer interaction,OpenAIRE,human-computer interaction,OpenAlex,1.0,2707,3008,1212,0.2691538974017322
microsatellite,OpenAIRE,microsatellite,OpenAlex,1.0,34,71,27,0.3461538461538461
genotype,OpenAIRE,genotype,OpenAlex,1.0,247,364,76,0.1420560747663551
locus (genetics),OpenAIRE,locus (genetics),OpenAlex,1.0,78,98,51,0.408
population,OpenAIRE,population,OpenAlex,1.0,2348,3883,1796,0.4049605411499436
population genetics,OpenAIRE,population genetics,OpenAlex,1.0,265,122,66,0.205607476635514
allele,OpenAIRE,allele,OpenAlex,1.0,162,349,104,0.2555282555282555
allele frequency,OpenAIRE,allele frequency,OpenAlex,1.0,81,62,30,0.2654867256637168
genetic structure,OpenAIRE,genetic structure,OpenAlex,1.0,25,23,9,0.2307692307692307
genetic variation,OpenAIRE,genetic variation,OpenAlex,1.0,643,621,243,0.2380019588638589
selection bias,OpenAIRE,selection bias,OpenAlex,1.0,143,120,70,0.3626943005181347
applied mathematics,OpenAIRE,applied mathematics,OpenAlex,1.0,6902,3742,1806,0.2043448744059742
covariance,OpenAIRE,covariance,OpenAlex,1.0,349,466,253,0.4501779359430605
filter (signal processing),OpenAIRE,filter (signal processing),OpenAlex,1.0,556,1876,381,0.1857630424183325
filtering problem,OpenAIRE,filtering problem,OpenAlex,1.0,53,31,17,0.2537313432835821
linear filter,OpenAIRE,linear filter,OpenAlex,1.0,82,42,15,0.1376146788990825
differential equation,OpenAIRE,differential equation,OpenAlex,1.0,303,435,117,0.1884057971014492
partial differential equation,OpenAIRE,partial differential equation,OpenAlex,1.0,209,224,99,0.2964071856287425
covariance matrix,OpenAIRE,covariance matrix,OpenAlex,1.0,275,248,150,0.4021447721179624
linear system,OpenAIRE,linear system,OpenAlex,1.0,700,536,318,0.3464052287581699
kalman filter,OpenAIRE,kalman filter,OpenAlex,1.0,505,760,419,0.4952718676122931
extended kalman filter,OpenAIRE,extended kalman filter,OpenAlex,1.0,250,339,195,0.4949238578680203
hybrid cryptosystem,OpenAIRE,hybrid cryptosystem,OpenAlex,1.0,6,7,4,0.4444444444444444
unix,OpenAIRE,unix,OpenAlex,1.0,27,34,19,0.4523809523809524
partition (number theory),OpenAIRE,partition (number theory),OpenAlex,1.0,42,204,30,0.1388888888888889
bayesian probability,OpenAIRE,bayesian probability,OpenAlex,1.0,1041,2487,918,0.3517241379310344
credit card fraud,OpenAIRE,credit card fraud,OpenAlex,1.0,19,20,18,0.8571428571428571
data parallelism,OpenAIRE,data parallelism,OpenAlex,1.0,6,8,3,0.2727272727272727
reuse,OpenAIRE,reuse,OpenAlex,1.0,79,138,64,0.4183006535947712
convolutional code,OpenAIRE,convolutional code,OpenAlex,1.0,32,27,9,0.18
computer engineering,OpenAIRE,computer engineering,OpenAlex,1.0,208,250,65,0.1653944020356234
decoding methods,OpenAIRE,decoding methods,OpenAlex,1.0,212,548,135,0.216
engineering,OpenAIRE,engineering,OpenAlex,1.0,8149,22901,6548,0.2672434903273202
waste management,OpenAIRE,waste management,OpenAlex,1.0,63,269,35,0.1178451178451178
antimicrobial,OpenAIRE,antimicrobial,OpenAlex,1.0,22,19,15,0.5769230769230769
pixel,OpenAIRE,pixel,OpenAlex,1.0,1240,1592,935,0.4928835002635741
softmax function,OpenAIRE,softmax function,OpenAlex,1.0,61,76,53,0.6309523809523809
overfitting,OpenAIRE,overfitting,OpenAlex,1.0,265,302,220,0.6340057636887608
dropout (neural networks),OpenAIRE,dropout (neural networks),OpenAlex,1.0,64,111,48,0.3779527559055118
regression testing,OpenAIRE,regression testing,OpenAlex,1.0,20,21,12,0.4137931034482758
test management approach,OpenAIRE,test management approach,OpenAlex,1.0,15,8,7,0.4375
ransac,OpenAIRE,ransac,OpenAlex,1.0,44,47,36,0.6545454545454545
smoothing,OpenAIRE,smoothing,OpenAlex,1.0,378,464,310,0.5827067669172933
landmark,OpenAIRE,landmark,OpenAlex,1.0,102,184,96,0.5052631578947369
basis (linear algebra),OpenAIRE,basis (linear algebra),OpenAlex,1.0,512,580,237,0.2771929824561403
point (geometry),OpenAIRE,point (geometry),OpenAlex,1.0,450,1572,260,0.1475595913734392
skeletal muscle,OpenAIRE,skeletal muscle,OpenAlex,1.0,11,22,7,0.2692307692307692
hidden markov model,OpenAIRE,hidden markov model,OpenAlex,1.0,542,519,352,0.4964739069111424
ergodic theory,OpenAIRE,ergodic theory,OpenAlex,1.0,49,70,36,0.4337349397590361
probabilistic logic,OpenAIRE,probabilistic logic,OpenAlex,1.0,1337,2368,1173,0.4632701421800947
markov chain,OpenAIRE,markov chain,OpenAlex,1.0,485,672,306,0.3595769682726204
markov model,OpenAIRE,markov model,OpenAlex,1.0,233,210,90,0.254957507082153
bayesian game,OpenAIRE,bayesian game,OpenAlex,1.0,18,17,9,0.3461538461538461
state (computer science),OpenAIRE,state (computer science),OpenAlex,1.0,522,1280,217,0.1369085173501577
heuristics,OpenAIRE,heuristics,OpenAlex,1.0,462,562,350,0.5192878338278932
dialog system,OpenAIRE,dialog system,OpenAlex,1.0,19,31,13,0.3513513513513513
representativeness heuristic,OpenAIRE,representativeness heuristic,OpenAlex,1.0,32,51,25,0.4310344827586206
compressed sensing,OpenAIRE,compressed sensing,OpenAlex,1.0,228,255,176,0.5732899022801303
orthonormal basis,OpenAIRE,orthonormal basis,OpenAlex,1.0,59,69,45,0.5421686746987951
histogram,OpenAIRE,histogram,OpenAlex,1.0,493,552,347,0.497134670487106
pedestrian detection,OpenAIRE,pedestrian detection,OpenAlex,1.0,58,62,47,0.6438356164383562
histogram of oriented gradients,OpenAIRE,histogram of oriented gradients,OpenAlex,1.0,13,30,8,0.2285714285714285
contrast (vision),OpenAIRE,contrast (vision),OpenAlex,1.0,377,2117,309,0.1414187643020595
pedestrian,OpenAIRE,pedestrian,OpenAlex,1.0,76,146,62,0.3875
transport engineering,OpenAIRE,transport engineering,OpenAlex,1.0,215,662,156,0.2163661581137309
gray level,OpenAIRE,gray level,OpenAlex,1.0,10,10,3,0.1764705882352941
superior colliculus,OpenAIRE,superior colliculus,OpenAlex,1.0,28,23,21,0.7
markov chain monte carlo,OpenAIRE,markov chain monte carlo,OpenAlex,1.0,296,381,231,0.5179372197309418
executable,OpenAIRE,executable,OpenAlex,1.0,41,54,37,0.6379310344827587
source code,OpenAIRE,source code,OpenAlex,1.0,236,215,101,0.2885714285714286
ethernet,OpenAIRE,ethernet,OpenAlex,1.0,6,8,6,0.75
regression,OpenAIRE,regression,OpenAlex,1.0,468,705,224,0.2360379346680716
model selection,OpenAIRE,model selection,OpenAlex,1.0,375,384,203,0.3651079136690647
linear regression,OpenAIRE,linear regression,OpenAlex,1.0,336,256,121,0.256900212314225
ridge,OpenAIRE,ridge,OpenAlex,1.0,11,43,9,0.2
regression analysis,OpenAIRE,regression analysis,OpenAlex,1.0,818,587,239,0.2049742710120068
generalized linear model,OpenAIRE,generalized linear model,OpenAlex,1.0,64,59,29,0.3085106382978723
stability (learning theory),OpenAIRE,stability (learning theory),OpenAlex,1.0,782,1643,452,0.2290927521540801
integrated pest management,OpenAIRE,integrated pest management,OpenAlex,1.0,16,15,10,0.4761904761904761
suite,OpenAIRE,suite,OpenAlex,1.0,53,156,35,0.2011494252873563
genomics,OpenAIRE,genomics,OpenAlex,1.0,484,242,150,0.2604166666666667
