Title;OpenAlexConcepts;OpenAIRESubjects_fromMag;Matching
A logic of authentication;Alternative medicine | Artificial intelligence | Authentication (law) | Authentication protocol | Biology | Challenge–response authentication | Computer science | Computer security | Cryptography | Evolutionary biology | Function (biology) | Medicine | Message authentication code | Pathology | Protocol (science) | Trustworthiness | Variety (cybernetics);;
Advanced mammalian gene transfer: high titre retroviral vectors with multiple drug selection markers and a complementary helper-free packaging cell line;Artificial intelligence | Biology | Computer science | Gene | Gene transfer | Genealogy | Genetics | History | Library science | Selection (genetic algorithm);;
The strength of weak learnability;Active learning (machine learning) | Algorithm | Artificial intelligence | Biology | Chemistry | Class (philosophy) | Computational learning theory | Computer science | Concept class | Evolutionary biology | Fraction (chemistry) | Function (biology) | Learnability | Mathematics | Organic chemistry | Probably approximately correct learning | Programming language | Set (abstract data type) | Theoretical computer science;Algorithm | Artificial Intelligence | Computational learning theory | Concept class | Instance-based learning | Learnability | Learnable Evolution Model | Mathematics | Semi-supervised learning | Software | Stability (learning theory) | Wake-sleep algorithm;Openaire: computational learning theory - Openalex: active learning (machine learning) | Openaire: instance-based learning - Openalex: active learning (machine learning) | Openaire: semi-supervised learning - Openalex: active learning (machine learning) | Openaire: algorithm - Openalex: algorithm | Openaire: wake-sleep algorithm - Openalex: algorithm | Openaire: artificial intelligence - Openalex: artificial intelligence | Openaire: concept class - Openalex: class (philosophy) | Openaire: computational learning theory - Openalex: computational learning theory | Openaire: instance-based learning - Openalex: computational learning theory | Openaire: semi-supervised learning - Openalex: computational learning theory | Openaire: concept class - Openalex: concept class | Openaire: learnability - Openalex: learnability | Openaire: mathematics - Openalex: mathematics | Openaire: computational learning theory - Openalex: probably approximately correct learning | Openaire: instance-based learning - Openalex: probably approximately correct learning | Openaire: semi-supervised learning - Openalex: probably approximately correct learning
Finding structure in time;Artificial intelligence | Artificial neural network | Biology | Cognition | Computer science | Computer security | Connectionism | Context (archaeology) | Economics | Law | Management | Natural language processing | Neuroscience | Paleontology | Political science | Politics | Programming language | Psychology | Representation (politics) | Security token | Semantic memory | Set (abstract data type) | Task (project management) | Theoretical computer science;Artificial Intelligence | Artificial grammar learning | Artificial intelligence | Cognitive Neuroscience | Computer science | Connectionism | Context (language use) | Experimental and Cognitive Psychology | Natural language processing | Part of speech | Semantics | Set (psychology) | Structure (mathematical logic) | Task (project management) | business | business.industry | computer | computer.software_genre;Openaire: artificial intelligence - Openalex: artificial intelligence | Openaire: artificial grammar learning - Openalex: artificial intelligence | Openaire: artificial intelligence - Openalex: artificial neural network | Openaire: artificial grammar learning - Openalex: artificial neural network | Openaire: computer science - Openalex: computer science | Openaire: computer - Openalex: computer science | Openaire: computer science - Openalex: computer security | Openaire: computer - Openalex: computer security | Openaire: connectionism - Openalex: connectionism | Openaire: context (language use) - Openalex: context (archaeology) | Openaire: natural language processing - Openalex: natural language processing | Openaire: cognitive neuroscience - Openalex: neuroscience | Openaire: computer science - Openalex: political science | Openaire: natural language processing - Openalex: programming language | Openaire: experimental and cognitive psychology - Openalex: psychology | Openaire: set (psychology) - Openalex: set (abstract data type) | Openaire: task (project management) - Openalex: task (project management) | Openaire: computer science - Openalex: theoretical computer science | Openaire: computer - Openalex: theoretical computer science
The computational complexity of probabilistic inference using bayesian belief networks;Algorithm | Approximate inference | Artificial intelligence | Autoepistemic logic | Bayesian inference | Bayesian network | Bayesian probability | Belief propagation | Computer science | Decoding methods | Description logic | Inference | Knowledge representation and reasoning | Machine learning | Multimodal logic | Probabilistic logic | Probabilistic logic network | Theoretical computer science;Artificial Intelligence | Artificial intelligence | Bayesian network | Belief propagation | Frequentist inference | Inference | Language and Linguistics | Linguistics and Language | Machine learning | Mathematics | Probabilistic analysis of algorithms | Probabilistic logic | Probabilistic logic network | Variable elimination | business | business.industry | computer | computer.software_genre;Openaire: frequentist inference - Openalex: approximate inference | Openaire: inference - Openalex: approximate inference | Openaire: artificial intelligence - Openalex: artificial intelligence | Openaire: probabilistic logic - Openalex: autoepistemic logic | Openaire: probabilistic logic network - Openalex: autoepistemic logic | Openaire: bayesian network - Openalex: bayesian inference | Openaire: frequentist inference - Openalex: bayesian inference | Openaire: inference - Openalex: bayesian inference | Openaire: bayesian network - Openalex: bayesian network | Openaire: probabilistic logic network - Openalex: bayesian network | Openaire: bayesian network - Openalex: bayesian probability | Openaire: belief propagation - Openalex: belief propagation | Openaire: computer - Openalex: computer science | Openaire: probabilistic logic - Openalex: description logic | Openaire: probabilistic logic network - Openalex: description logic | Openaire: frequentist inference - Openalex: inference | Openaire: inference - Openalex: inference | Openaire: language and linguistics - Openalex: knowledge representation and reasoning | Openaire: linguistics and language - Openalex: knowledge representation and reasoning | Openaire: machine learning - Openalex: machine learning | Openaire: probabilistic logic - Openalex: multimodal logic | Openaire: probabilistic logic network - Openalex: multimodal logic | Openaire: probabilistic analysis of algorithms - Openalex: probabilistic logic | Openaire: probabilistic logic - Openalex: probabilistic logic | Openaire: probabilistic logic network - Openalex: probabilistic logic | Openaire: bayesian network - Openalex: probabilistic logic network | Openaire: probabilistic analysis of algorithms - Openalex: probabilistic logic network | Openaire: probabilistic logic - Openalex: probabilistic logic network | Openaire: probabilistic logic network - Openalex: probabilistic logic network | Openaire: computer - Openalex: theoretical computer science
Multiquadrics—A scattered data approximation scheme with applications to computational fluid-dynamics—II solutions to parabolic, hyperbolic and elliptic partial differential equations;Applied mathematics | Artificial intelligence | Computer science | Elliptic partial differential equation | Hyperbolic partial differential equation | Interpolation (computer graphics) | Law | Mathematical analysis | Mathematics | Motion (physics) | Norm (philosophy) | Partial differential equation | Political science | Scheme (mathematics);;
Neuromorphic electronic systems;Adaptation (eye) | Algorithm | Analog computer | Artificial intelligence | Artificial neural network | Component (thermodynamics) | Computation | Computer science | Electrical engineering | Engineering | Law | Neuromorphic engineering | Optics | Physics | Political science | Politics | Quantum mechanics | Representation (politics) | Scale (ratio) | Thermodynamics;Adaptive system | Analog computer | Analog signal | Artificial neural network | Computation | Computer science | Electrical and Electronic Engineering | Electronic engineering | Neuromorphic engineering | Robustness (computer science) | TrueNorth | law | law.invention;Openaire: analog computer - Openalex: analog computer | Openaire: analog signal - Openalex: analog computer | Openaire: computer science - Openalex: analog computer | Openaire: artificial neural network - Openalex: artificial intelligence | Openaire: artificial neural network - Openalex: artificial neural network | Openaire: computation - Openalex: computation | Openaire: analog computer - Openalex: computer science | Openaire: computer science - Openalex: computer science | Openaire: electrical and electronic engineering - Openalex: electrical engineering | Openaire: electronic engineering - Openalex: electrical engineering | Openaire: neuromorphic engineering - Openalex: electrical engineering | Openaire: electrical and electronic engineering - Openalex: engineering | Openaire: electronic engineering - Openalex: engineering | Openaire: neuromorphic engineering - Openalex: engineering | Openaire: law - Openalex: law | Openaire: electrical and electronic engineering - Openalex: neuromorphic engineering | Openaire: electronic engineering - Openalex: neuromorphic engineering | Openaire: neuromorphic engineering - Openalex: neuromorphic engineering | Openaire: computer science - Openalex: political science
The past explains the present;Adaptation (eye) | Artificial intelligence | Categorization | Cognitive psychology | Cognitive science | Computer science | Consciousness | Neuroscience | Psychology | Selection (genetic algorithm);Adaptation | Biology | Categorization | Cognitive science | Communication | Consciousness | Ecology, Evolution, Behavior and Systematics | Emotional Adjustments | Evolutionary psychology | General Earth and Planetary Sciences | General Environmental Science | Selection (linguistics) | Statistical structure | Structure (mathematical logic) | business | business.industry | media_common | media_common.quotation_subject;Openaire: adaptation - Openalex: adaptation (eye) | Openaire: categorization - Openalex: categorization | Openaire: cognitive science - Openalex: cognitive psychology | Openaire: evolutionary psychology - Openalex: cognitive psychology | Openaire: cognitive science - Openalex: cognitive science | Openaire: general environmental science - Openalex: cognitive science | Openaire: cognitive science - Openalex: computer science | Openaire: general environmental science - Openalex: computer science | Openaire: consciousness - Openalex: consciousness | Openaire: evolutionary psychology - Openalex: psychology | Openaire: selection (linguistics) - Openalex: selection (genetic algorithm)
Nonmonotonic reasoning, preferential models and cumulative logics;Artificial intelligence | Belief revision | Classical logic | Computer science | Discrete mathematics | Epistemology | Extension (predicate logic) | Mathematical analysis | Mathematics | Monotonic function | Non-monotonic logic | Philosophy | Predicate (mathematical logic) | Probabilistic logic | Programming language | Property (philosophy) | Theoretical computer science;01 natural sciences | 0102 computer and information sciences | 010201 computation theory & mathematics | 01020102 Model theory/Artificial intelligence | 02 engineering and technology | 0202 electrical engineering, electronic engineering, information engineering | 020201 artificial intelligence & image processing | 02020103 Biometrics/Authentication methods | Artificial Intelligence | Artificial Intelligence (cs.AI) | Artificial intelligence | Computer Science - Artificial Intelligence | Cumulativity | Default logic | Extension (predicate logic) | FOS: Computer and information sciences | I.2.3 | Language and Linguistics | Linguistics and Language | Mathematical economics | Mathematics | Non-monotonic logic | Predicate (mathematical logic) | Preferential entailment | Propositional calculus | Strict conditional | business | business.industry;Openaire: 01020102 model theory/artificial intelligence - Openalex: artificial intelligence | Openaire: 020201 artificial intelligence & image processing - Openalex: artificial intelligence | Openaire: artificial intelligence - Openalex: artificial intelligence | Openaire: artificial intelligence (cs.ai) - Openalex: artificial intelligence | Openaire: computer science - artificial intelligence - Openalex: artificial intelligence | Openaire: default logic - Openalex: classical logic | Openaire: non-monotonic logic - Openalex: classical logic | Openaire: 0102 computer and information sciences - Openalex: computer science | Openaire: computer science - artificial intelligence - Openalex: computer science | Openaire: fos: computer and information sciences - Openalex: computer science | Openaire: 010201 computation theory & mathematics - Openalex: discrete mathematics | Openaire: mathematics - Openalex: discrete mathematics | Openaire: extension (predicate logic) - Openalex: extension (predicate logic) | Openaire: predicate (mathematical logic) - Openalex: extension (predicate logic) | Openaire: mathematical economics - Openalex: mathematical analysis | Openaire: 010201 computation theory & mathematics - Openalex: mathematics | Openaire: mathematics - Openalex: mathematics | Openaire: default logic - Openalex: non-monotonic logic | Openaire: non-monotonic logic - Openalex: non-monotonic logic | Openaire: extension (predicate logic) - Openalex: predicate (mathematical logic) | Openaire: predicate (mathematical logic) - Openalex: predicate (mathematical logic) | Openaire: default logic - Openalex: probabilistic logic | Openaire: non-monotonic logic - Openalex: probabilistic logic | Openaire: language and linguistics - Openalex: programming language | Openaire: linguistics and language - Openalex: programming language | Openaire: 0102 computer and information sciences - Openalex: theoretical computer science | Openaire: computer science - artificial intelligence - Openalex: theoretical computer science | Openaire: fos: computer and information sciences - Openalex: theoretical computer science
Preshaping Command Inputs to Reduce System Vibration;Acoustics | Algorithm | Artificial intelligence | Computer science | Control (management) | Control engineering | Control theory (sociology) | Engineering | Geometry | Input shaping | Manipulator (device) | Mathematics | Physics | Reduction (mathematics) | Residual | Robot | Simulation | Vibration | Vibration control;Computer Science Applications | Control and Systems Engineering | Control theory | Convolution | Engineering | Information Systems | Input shaping | Instrumentation | Mechanical Engineering | Mode (statistics) | Reduction (mathematics) | Remote manipulator | Space Shuttle | System parameter | Vibration | business | business.industry;Openaire: computer science applications - Openalex: computer science | Openaire: control and systems engineering - Openalex: control (management) | Openaire: control theory - Openalex: control (management) | Openaire: control and systems engineering - Openalex: control engineering | Openaire: control theory - Openalex: control engineering | Openaire: engineering - Openalex: control engineering | Openaire: mechanical engineering - Openalex: control engineering | Openaire: control and systems engineering - Openalex: control theory (sociology) | Openaire: control theory - Openalex: control theory (sociology) | Openaire: control and systems engineering - Openalex: engineering | Openaire: engineering - Openalex: engineering | Openaire: mechanical engineering - Openalex: engineering | Openaire: input shaping - Openalex: input shaping | Openaire: remote manipulator - Openalex: manipulator (device) | Openaire: reduction (mathematics) - Openalex: reduction (mathematics) | Openaire: vibration - Openalex: vibration | Openaire: control and systems engineering - Openalex: vibration control | Openaire: control theory - Openalex: vibration control | Openaire: vibration - Openalex: vibration control
Methods for assessing the statistical significance of molecular sequence features by using general scoring schemes.;Artificial intelligence | Bioinformatics | Biology | Computational biology | Computer science | Gene | Genetics | Image (mathematics) | Nucleic acid sequence | Pattern recognition (psychology) | Sequence (biology) | Similarity (geometry) | Variety (cybernetics);Amino Acid Sequence | Analysis of Variance | BLOSUM | Base Sequence | Biological Evolution | Biology | Composition (combinatorics) | Computational biology | Gap penalty | Genetics | Models, Genetic | Models, Statistical | Multidisciplinary | Nucleic Acids | Peptide sequence | Probability | Protein secondary structure | Protein sequencing | Proteins | Research Article | Sequence (medicine) | Similarity (network science);Openaire: biology - Openalex: biology | Openaire: computational biology - Openalex: biology | Openaire: biology - Openalex: computational biology | Openaire: computational biology - Openalex: computational biology | Openaire: genetics - Openalex: genetics | Openaire: amino acid sequence - Openalex: nucleic acid sequence | Openaire: base sequence - Openalex: nucleic acid sequence | Openaire: nucleic acids - Openalex: nucleic acid sequence | Openaire: peptide sequence - Openalex: nucleic acid sequence | Openaire: sequence (medicine) - Openalex: nucleic acid sequence | Openaire: amino acid sequence - Openalex: sequence (biology) | Openaire: base sequence - Openalex: sequence (biology) | Openaire: peptide sequence - Openalex: sequence (biology) | Openaire: sequence (medicine) - Openalex: sequence (biology) | Openaire: similarity (network science) - Openalex: similarity (geometry)
Finite element interpolation of nonsmooth functions satisfying boundary conditions;Algorithm | Applied mathematics | Artificial intelligence | Biochemistry | Biology | Boundary (topology) | Chemistry | Computer science | Ecology | Gene | Image (mathematics) | Interpolation (computer graphics) | Lagrange polynomial | Mathematical analysis | Mathematics | Operator (biology) | Piecewise | Polynomial | Projection (relational algebra) | Repressor | Sobolev space | Transcription factor | Type (biology);Algebra and Number Theory | Applied Mathematics | Boundary knot method | Boundary value problem | Computational Mathematics | Extended finite element method | Interpolation | Mathematical analysis | Mathematics | Piecewise | Polynomial | Projection (set theory) | Sobolev space;Openaire: applied mathematics - Openalex: applied mathematics | Openaire: computational mathematics - Openalex: applied mathematics | Openaire: mathematics - Openalex: applied mathematics | Openaire: boundary knot method - Openalex: boundary (topology) | Openaire: boundary value problem - Openalex: boundary (topology) | Openaire: interpolation - Openalex: interpolation (computer graphics) | Openaire: polynomial - Openalex: lagrange polynomial | Openaire: mathematical analysis - Openalex: mathematical analysis | Openaire: applied mathematics - Openalex: mathematics | Openaire: computational mathematics - Openalex: mathematics | Openaire: mathematics - Openalex: mathematics | Openaire: piecewise - Openalex: piecewise | Openaire: polynomial - Openalex: polynomial | Openaire: projection (set theory) - Openalex: projection (relational algebra) | Openaire: sobolev space - Openalex: sobolev space
Matrix pencil method for estimating parameters of exponentially damped/undamped sinusoids in noise;Algorithm | Applied mathematics | Artificial intelligence | Characteristic polynomial | Composite material | Computation | Computer science | Differential equation | Eigenvalues and eigenvectors | Exponential function | Exponential growth | Image (mathematics) | Materials science | Mathematical analysis | Mathematics | Matrix (chemical analysis) | Matrix exponential | Matrix pencil | Noise (video) | Pencil (optics) | Physics | Polynomial | Quantum mechanics | Singular value decomposition;;
Computation at the edge of chaos: Phase transitions and emergent computation;Algorithm | Artificial intelligence | Cellular automaton | Computation | Computer science | Connection (principal bundle) | Edge of chaos | Enhanced Data Rates for GSM Evolution | Geometry | Mathematics | Phase transition | Physics | Quantum mechanics | Statistical physics | Theoretical computer science;Algorithm | Cellular automaton | Computation | Computational complexity theory | Condensed Matter Physics | Edge of chaos | Halting problem | Information transmission | Phase transition | Physical system | Physics | Statistical and Nonlinear Physics | Statistical physics;Openaire: algorithm - Openalex: algorithm | Openaire: cellular automaton - Openalex: cellular automaton | Openaire: computation - Openalex: computation | Openaire: edge of chaos - Openalex: edge of chaos | Openaire: phase transition - Openalex: phase transition | Openaire: condensed matter physics - Openalex: physics | Openaire: physics - Openalex: physics | Openaire: statistical and nonlinear physics - Openalex: physics | Openaire: statistical physics - Openalex: physics | Openaire: condensed matter physics - Openalex: statistical physics | Openaire: physics - Openalex: statistical physics | Openaire: statistical and nonlinear physics - Openalex: statistical physics | Openaire: statistical physics - Openalex: statistical physics
