Category1,Source1,Category2,Source2,similarity,PapersInC1,PapersInC2,PapersInBoth,Discripancy
artificial neural network,OpenAlex,artificial neural network,OpenAIRE,1.0,1958,1379,958,0.4026902059688945
inertial measurement unit,OpenAlex,inertial measurement unit,OpenAIRE,1.0,18,17,12,0.5217391304347826
sigma,OpenAlex,sigma,OpenAIRE,1.0,11,12,7,0.4375
neuroimaging,OpenAIRE,neuroimaging,OpenAlex,1.0,147,171,91,0.4008810572687225
multispectral image,OpenAIRE,multispectral image,OpenAlex,1.0,60,68,53,0.7066666666666667
speckle pattern,OpenAIRE,speckle pattern,OpenAlex,1.0,40,43,34,0.6938775510204082
molecular imaging,OpenAIRE,molecular imaging,OpenAlex,1.0,20,22,14,0.5
diffuse optical imaging,OpenAIRE,diffuse optical imaging,OpenAlex,1.0,9,7,6,0.6
multispectral image,OpenAlex,multispectral image,OpenAIRE,1.0,68,60,53,0.7066666666666667
neuroimaging,OpenAlex,neuroimaging,OpenAIRE,1.0,171,147,91,0.4008810572687225
diffuse optical imaging,OpenAlex,diffuse optical imaging,OpenAIRE,1.0,7,9,6,0.6
enantiomer,OpenAIRE,enantiomer,OpenAlex,1.0,11,10,8,0.6153846153846154
enantioselective synthesis,OpenAIRE,enantioselective synthesis,OpenAlex,1.0,8,11,6,0.4615384615384615
enantioselective synthesis,OpenAlex,enantioselective synthesis,OpenAIRE,1.0,11,8,6,0.4615384615384615
enantiomer,OpenAlex,enantiomer,OpenAIRE,1.0,10,11,8,0.6153846153846154
cluster analysis,OpenAIRE,cluster analysis,OpenAlex,1.0,622,642,452,0.5566502463054187
outlier,OpenAIRE,outlier,OpenAlex,1.0,117,162,100,0.5586592178770949
market segmentation,OpenAIRE,market segmentation,OpenAlex,1.0,23,25,14,0.4117647058823529
cluster analysis,OpenAlex,cluster analysis,OpenAIRE,1.0,642,622,452,0.5566502463054187
outlier,OpenAlex,outlier,OpenAIRE,1.0,162,117,100,0.5586592178770949
non-equilibrium thermodynamics,OpenAIRE,non-equilibrium thermodynamics,OpenAlex,1.0,16,21,12,0.48
non-equilibrium thermodynamics,OpenAlex,non-equilibrium thermodynamics,OpenAIRE,1.0,21,16,12,0.48
quantum entanglement,OpenAlex,quantum entanglement,OpenAIRE,1.0,40,30,23,0.4893617021276595
categorization,OpenAIRE,categorization,OpenAlex,1.0,237,320,181,0.4813829787234042
ordinal regression,OpenAIRE,ordinal regression,OpenAlex,1.0,8,8,7,0.7777777777777778
selection bias,OpenAlex,selection bias,OpenAIRE,1.0,43,50,31,0.5
ordinal regression,OpenAlex,ordinal regression,OpenAIRE,1.0,8,8,7,0.7777777777777778
sentiment analysis,OpenAIRE,sentiment analysis,OpenAlex,1.0,75,95,59,0.5315315315315315
natural language processing,OpenAIRE,natural language processing,OpenAlex,1.0,670,1199,550,0.4169825625473843
sentiment analysis,OpenAlex,sentiment analysis,OpenAIRE,1.0,95,75,59,0.5315315315315315
natural language processing,OpenAlex,natural language processing,OpenAIRE,1.0,1199,670,550,0.4169825625473843
soil texture,OpenAlex,soil texture,OpenAIRE,1.0,6,4,3,0.4285714285714285
computer vision,OpenAIRE,computer vision,OpenAlex,1.0,1816,3074,1541,0.4601373544341594
intelligent transportation system,OpenAIRE,intelligent transportation system,OpenAlex,1.0,21,25,14,0.4375
genetic algorithm,OpenAlex,genetic algorithm,OpenAIRE,1.0,184,185,121,0.4879032258064516
computer vision,OpenAlex,computer vision,OpenAIRE,1.0,3074,1816,1541,0.4601373544341594
intelligent transportation system,OpenAlex,intelligent transportation system,OpenAIRE,1.0,25,21,14,0.4375
non-monotonic logic,OpenAIRE,non-monotonic logic,OpenAlex,1.0,16,17,12,0.5714285714285714
abductive reasoning,OpenAIRE,abductive reasoning,OpenAlex,1.0,7,9,5,0.4545454545454545
non-monotonic logic,OpenAlex,non-monotonic logic,OpenAIRE,1.0,17,16,12,0.5714285714285714
abductive reasoning,OpenAlex,abductive reasoning,OpenAIRE,1.0,9,7,5,0.4545454545454545
weighting,OpenAIRE,weighting,OpenAlex,1.0,105,129,83,0.5496688741721855
vector quantization,OpenAIRE,vector quantization,OpenAlex,1.0,23,22,13,0.40625
gradient descent,OpenAIRE,gradient descent,OpenAlex,1.0,69,91,48,0.4285714285714285
classifier (uml),OpenAIRE,classifier (uml),OpenAlex,1.0,245,474,213,0.4209486166007905
vector quantization,OpenAlex,vector quantization,OpenAIRE,1.0,22,23,13,0.40625
weighting,OpenAlex,weighting,OpenAIRE,1.0,129,105,83,0.5496688741721855
domestication,OpenAIRE,domestication,OpenAlex,1.0,26,28,26,0.9285714285714286
sympatric speciation,OpenAlex,sympatric speciation,OpenAIRE,1.0,18,12,9,0.4285714285714285
domestication,OpenAlex,domestication,OpenAIRE,1.0,28,26,26,0.9285714285714286
modular design,OpenAIRE,modular design,OpenAlex,1.0,62,105,56,0.5045045045045045
probabilistic logic,OpenAIRE,probabilistic logic,OpenAlex,1.0,334,636,289,0.4243759177679883
modular design,OpenAlex,modular design,OpenAIRE,1.0,105,62,56,0.5045045045045045
abiotic component,OpenAIRE,abiotic component,OpenAlex,1.0,14,18,12,0.6
organism,OpenAIRE,organism,OpenAlex,1.0,29,39,23,0.5111111111111111
genome,OpenAIRE,genome,OpenAlex,1.0,212,331,160,0.4177545691906005
phylogenetic tree,OpenAIRE,phylogenetic tree,OpenAlex,1.0,100,148,91,0.5796178343949044
genome,OpenAlex,genome,OpenAIRE,1.0,331,212,160,0.4177545691906005
metabolomics,OpenAlex,metabolomics,OpenAIRE,1.0,12,17,11,0.6111111111111112
evolutionary algorithm,OpenAIRE,evolutionary algorithm,OpenAlex,1.0,108,107,65,0.4333333333333333
drug discovery,OpenAIRE,drug discovery,OpenAlex,1.0,94,73,48,0.4033613445378151
in silico,OpenAIRE,in silico,OpenAlex,1.0,10,19,10,0.5263157894736842
virtual screening,OpenAIRE,virtual screening,OpenAlex,1.0,23,23,16,0.5333333333333333
chemical space,OpenAIRE,chemical space,OpenAlex,1.0,11,18,10,0.5263157894736842
in silico,OpenAlex,in silico,OpenAIRE,1.0,19,10,10,0.5263157894736842
drug discovery,OpenAlex,drug discovery,OpenAIRE,1.0,73,94,48,0.4033613445378151
virtual screening,OpenAlex,virtual screening,OpenAIRE,1.0,23,23,16,0.5333333333333333
linear system,OpenAlex,linear system,OpenAIRE,1.0,160,202,108,0.4251968503937008
segmentation,OpenAIRE,segmentation,OpenAlex,1.0,440,646,389,0.5581061692969871
search engine indexing,OpenAIRE,search engine indexing,OpenAlex,1.0,72,90,47,0.408695652173913
pixel,OpenAIRE,pixel,OpenAlex,1.0,333,459,247,0.4532110091743119
segmentation,OpenAlex,segmentation,OpenAIRE,1.0,646,440,389,0.5581061692969871
optical character recognition,OpenAlex,optical character recognition,OpenAIRE,1.0,10,20,9,0.4285714285714285
autoencoder,OpenAIRE,autoencoder,OpenAlex,1.0,35,56,29,0.4677419354838709
autoencoder,OpenAlex,autoencoder,OpenAIRE,1.0,56,35,29,0.4677419354838709
embedding,OpenAlex,embedding,OpenAIRE,1.0,207,111,93,0.4133333333333333
outsourcing,OpenAIRE,outsourcing,OpenAlex,1.0,14,19,12,0.5714285714285714
fertility,OpenAIRE,fertility,OpenAlex,1.0,23,20,14,0.4827586206896552
fertility,OpenAlex,fertility,OpenAIRE,1.0,20,23,14,0.4827586206896552
embeddedness,OpenAIRE,embeddedness,OpenAlex,1.0,25,26,17,0.5
embeddedness,OpenAlex,embeddedness,OpenAIRE,1.0,26,25,17,0.5
population,OpenAlex,population,OpenAIRE,1.0,1048,660,497,0.4104046242774566
learning styles,OpenAIRE,learning styles,OpenAlex,1.0,9,10,7,0.5833333333333334
hypertext,OpenAIRE,hypertext,OpenAlex,1.0,10,13,9,0.6428571428571429
learning styles,OpenAlex,learning styles,OpenAIRE,1.0,10,9,7,0.5833333333333334
mirror neuron,OpenAIRE,mirror neuron,OpenAlex,1.0,26,26,17,0.4857142857142857
deliberation,OpenAIRE,deliberation,OpenAlex,1.0,10,14,7,0.4117647058823529
embodied cognition,OpenAIRE,embodied cognition,OpenAlex,1.0,78,131,67,0.4718309859154929
cognition,OpenAIRE,cognition,OpenAlex,1.0,1074,1510,747,0.4066412629286881
consciousness,OpenAlex,consciousness,OpenAIRE,1.0,46,56,31,0.4366197183098591
cognition,OpenAlex,cognition,OpenAIRE,1.0,1510,1074,747,0.4066412629286881
deliberation,OpenAlex,deliberation,OpenAIRE,1.0,14,10,7,0.4117647058823529
embodied cognition,OpenAlex,embodied cognition,OpenAIRE,1.0,131,78,67,0.4718309859154929
cognitive imitation,OpenAlex,cognitive imitation,OpenAIRE,1.0,6,7,4,0.4444444444444444
psychology,OpenAlex,psychology,OpenAIRE,1.0,7484,4003,3768,0.4881461329187718
mirroring,OpenAlex,mirroring,OpenAIRE,1.0,7,5,4,0.5
smoothing,OpenAIRE,smoothing,OpenAlex,1.0,102,138,80,0.5
receiver operating characteristic,OpenAIRE,receiver operating characteristic,OpenAlex,1.0,66,58,44,0.55
sensitivity (control systems),OpenAIRE,sensitivity (control systems),OpenAlex,1.0,141,183,93,0.4025974025974026
hidden markov model,OpenAlex,hidden markov model,OpenAIRE,1.0,136,139,89,0.478494623655914
receiver operating characteristic,OpenAlex,receiver operating characteristic,OpenAIRE,1.0,58,66,44,0.55
smoothing,OpenAlex,smoothing,OpenAIRE,1.0,138,102,80,0.5
conceptual change,OpenAIRE,conceptual change,OpenAlex,1.0,10,10,6,0.4285714285714285
science education,OpenAlex,science education,OpenAIRE,1.0,37,51,26,0.4193548387096774
curriculum,OpenAlex,curriculum,OpenAIRE,1.0,54,52,35,0.4929577464788732
image registration,OpenAIRE,image registration,OpenAlex,1.0,75,73,54,0.574468085106383
mutual information,OpenAIRE,mutual information,OpenAlex,1.0,65,75,50,0.5555555555555556
image registration,OpenAlex,image registration,OpenAIRE,1.0,73,75,54,0.574468085106383
situated,OpenAIRE,situated,OpenAlex,1.0,102,186,98,0.5157894736842106
professional development,OpenAIRE,professional development,OpenAlex,1.0,23,21,14,0.4666666666666667
professional development,OpenAlex,professional development,OpenAIRE,1.0,21,23,14,0.4666666666666667
situated,OpenAlex,situated,OpenAIRE,1.0,186,102,98,0.5157894736842106
visual field,OpenAIRE,visual field,OpenAlex,1.0,47,50,32,0.4923076923076923
monocular,OpenAIRE,monocular,OpenAlex,1.0,26,48,24,0.48
glaucoma,OpenAIRE,glaucoma,OpenAlex,1.0,11,12,11,0.9166666666666666
audiology,OpenAIRE,audiology,OpenAlex,1.0,87,149,70,0.4216867469879518
visual acuity,OpenAlex,visual acuity,OpenAIRE,1.0,11,27,11,0.4074074074074074
glaucoma,OpenAlex,glaucoma,OpenAIRE,1.0,12,11,11,0.9166666666666666
audiology,OpenAlex,audiology,OpenAIRE,1.0,149,87,70,0.4216867469879518
visual field,OpenAlex,visual field,OpenAIRE,1.0,50,47,32,0.4923076923076923
structured light,OpenAIRE,structured light,OpenAlex,1.0,8,8,6,0.6
camera resectioning,OpenAIRE,camera resectioning,OpenAlex,1.0,16,14,11,0.5789473684210527
camera resectioning,OpenAlex,camera resectioning,OpenAIRE,1.0,14,16,11,0.5789473684210527
business cycle,OpenAIRE,business cycle,OpenAlex,1.0,10,14,9,0.6
prior probability,OpenAIRE,prior probability,OpenAlex,1.0,118,132,74,0.4204545454545454
markov chain monte carlo,OpenAlex,markov chain monte carlo,OpenAIRE,1.0,124,103,81,0.5547945205479452
prior probability,OpenAlex,prior probability,OpenAIRE,1.0,132,118,74,0.4204545454545454
raster graphics,OpenAIRE,raster graphics,OpenAlex,1.0,16,23,14,0.56
surface roughness,OpenAIRE,surface roughness,OpenAlex,1.0,10,12,7,0.4666666666666667
surface finish,OpenAIRE,surface finish,OpenAlex,1.0,15,24,12,0.4444444444444444
rapid prototyping,OpenAIRE,rapid prototyping,OpenAlex,1.0,13,11,8,0.5
rapid prototyping,OpenAlex,rapid prototyping,OpenAIRE,1.0,11,13,8,0.5
surface finish,OpenAlex,surface finish,OpenAIRE,1.0,24,15,12,0.4444444444444444
surface roughness,OpenAlex,surface roughness,OpenAIRE,1.0,12,10,7,0.4666666666666667
raster graphics,OpenAlex,raster graphics,OpenAIRE,1.0,23,16,14,0.56
complex network,OpenAIRE,complex network,OpenAlex,1.0,124,180,97,0.4685990338164251
regret,OpenAIRE,regret,OpenAlex,1.0,12,15,10,0.5882352941176471
regret,OpenAlex,regret,OpenAIRE,1.0,15,12,10,0.5882352941176471
convolutional neural network,OpenAIRE,convolutional neural network,OpenAlex,1.0,446,648,413,0.6064610866372981
pose,OpenAIRE,pose,OpenAlex,1.0,65,46,35,0.4605263157894737
minimum bounding box,OpenAIRE,minimum bounding box,OpenAlex,1.0,31,46,26,0.5098039215686274
deep learning,OpenAIRE,deep learning,OpenAlex,1.0,753,900,506,0.4411508282476024
minimum bounding box,OpenAlex,minimum bounding box,OpenAIRE,1.0,46,31,26,0.5098039215686274
deep learning,OpenAlex,deep learning,OpenAIRE,1.0,900,753,506,0.4411508282476024
competence (human resources),OpenAIRE,competence (human resources),OpenAlex,1.0,68,75,52,0.5714285714285714
incentive,OpenAIRE,incentive,OpenAlex,1.0,83,105,65,0.5284552845528455
incentive,OpenAlex,incentive,OpenAIRE,1.0,105,83,65,0.5284552845528455
trajectory,OpenAIRE,trajectory,OpenAlex,1.0,116,150,82,0.4456521739130434
motion planning,OpenAIRE,motion planning,OpenAlex,1.0,87,72,55,0.5288461538461539
robot,OpenAIRE,robot,OpenAlex,1.0,340,680,299,0.4147018030513176
kinematics,OpenAlex,kinematics,OpenAIRE,1.0,138,114,96,0.6153846153846154
phase space,OpenAlex,phase space,OpenAIRE,1.0,19,14,10,0.4347826086956521
motion planning,OpenAlex,motion planning,OpenAIRE,1.0,72,87,55,0.5288461538461539
categorization,OpenAlex,categorization,OpenAIRE,1.0,320,237,181,0.4813829787234042
phylogenetic comparative methods,OpenAIRE,phylogenetic comparative methods,OpenAlex,1.0,9,9,6,0.5
advertising,OpenAlex,advertising,OpenAIRE,1.0,187,119,100,0.4854368932038835
locus (genetics),OpenAIRE,locus (genetics),OpenAlex,1.0,25,28,16,0.4324324324324324
coalescent theory,OpenAIRE,coalescent theory,OpenAlex,1.0,27,33,27,0.8181818181818182
natural selection,OpenAIRE,natural selection,OpenAlex,1.0,312,391,255,0.5691964285714286
balancing selection,OpenAIRE,balancing selection,OpenAlex,1.0,19,28,15,0.46875
locus (genetics),OpenAlex,locus (genetics),OpenAIRE,1.0,28,25,16,0.4324324324324324
balancing selection,OpenAlex,balancing selection,OpenAIRE,1.0,28,19,15,0.46875
natural selection,OpenAlex,natural selection,OpenAIRE,1.0,391,312,255,0.5691964285714286
speech recognition,OpenAIRE,speech recognition,OpenAlex,1.0,511,597,335,0.4333764553686934
hidden markov model,OpenAIRE,hidden markov model,OpenAlex,1.0,139,136,89,0.478494623655914
speech recognition,OpenAlex,speech recognition,OpenAIRE,1.0,597,511,335,0.4333764553686934
emerging markets,OpenAIRE,emerging markets,OpenAlex,1.0,14,16,9,0.4285714285714285
latin americans,OpenAIRE,latin americans,OpenAlex,1.0,8,12,7,0.5384615384615384
emerging markets,OpenAlex,emerging markets,OpenAIRE,1.0,16,14,9,0.4285714285714285
documentation,OpenAIRE,documentation,OpenAlex,1.0,43,35,25,0.4716981132075472
watershed,OpenAIRE,watershed,OpenAlex,1.0,14,15,11,0.6111111111111112
watershed,OpenAlex,watershed,OpenAIRE,1.0,15,14,11,0.6111111111111112
documentation,OpenAlex,documentation,OpenAIRE,1.0,35,43,25,0.4716981132075472
standardization,OpenAIRE,standardization,OpenAlex,1.0,36,52,27,0.4426229508196721
macaque,OpenAIRE,macaque,OpenAlex,1.0,21,30,18,0.5454545454545454
primate,OpenAIRE,primate,OpenAlex,1.0,23,32,20,0.5714285714285714
macaque,OpenAlex,macaque,OpenAIRE,1.0,30,21,18,0.5454545454545454
attachment theory,OpenAIRE,attachment theory,OpenAlex,1.0,8,14,8,0.5714285714285714
friendship,OpenAIRE,friendship,OpenAlex,1.0,15,21,11,0.44
empathy,OpenAIRE,empathy,OpenAlex,1.0,45,62,35,0.4861111111111111
attachment theory,OpenAlex,attachment theory,OpenAIRE,1.0,14,8,8,0.5714285714285714
conditional random field,OpenAIRE,conditional random field,OpenAlex,1.0,38,44,30,0.5769230769230769
global positioning system,OpenAIRE,global positioning system,OpenAlex,1.0,37,53,29,0.4754098360655737
activity recognition,OpenAIRE,activity recognition,OpenAlex,1.0,40,46,34,0.6538461538461539
conditional random field,OpenAlex,conditional random field,OpenAIRE,1.0,44,38,30,0.5769230769230769
inference,OpenAlex,inference,OpenAIRE,1.0,1021,520,453,0.4163602941176471
belief propagation,OpenAlex,belief propagation,OpenAIRE,1.0,20,23,13,0.4333333333333333
activity recognition,OpenAlex,activity recognition,OpenAIRE,1.0,46,40,34,0.6538461538461539
global positioning system,OpenAlex,global positioning system,OpenAIRE,1.0,53,37,29,0.4754098360655737
bayesian network,OpenAIRE,bayesian network,OpenAlex,1.0,64,74,43,0.4526315789473684
monte carlo method,OpenAIRE,monte carlo method,OpenAlex,1.0,210,185,117,0.420863309352518
probabilistic logic,OpenAlex,probabilistic logic,OpenAIRE,1.0,636,334,289,0.4243759177679883
bayesian network,OpenAlex,bayesian network,OpenAIRE,1.0,74,64,43,0.4526315789473684
dynamic capabilities,OpenAIRE,dynamic capabilities,OpenAlex,1.0,24,28,16,0.4444444444444444
dynamic capabilities,OpenAlex,dynamic capabilities,OpenAIRE,1.0,28,24,16,0.4444444444444444
metaheuristic,OpenAIRE,metaheuristic,OpenAlex,1.0,85,87,60,0.5357142857142857
swarm intelligence,OpenAIRE,swarm intelligence,OpenAlex,1.0,60,41,30,0.4225352112676056
swarm behaviour,OpenAIRE,swarm behaviour,OpenAlex,1.0,40,67,34,0.4657534246575342
particle swarm optimization,OpenAIRE,particle swarm optimization,OpenAlex,1.0,106,134,95,0.6551724137931034
swarm intelligence,OpenAlex,swarm intelligence,OpenAIRE,1.0,41,60,30,0.4225352112676056
support vector machine,OpenAIRE,support vector machine,OpenAlex,1.0,441,595,336,0.48
gradient boosting,OpenAIRE,gradient boosting,OpenAlex,1.0,17,24,13,0.4642857142857143
boosting (machine learning),OpenAIRE,boosting (machine learning),OpenAlex,1.0,68,80,55,0.5913978494623656
random forest,OpenAIRE,random forest,OpenAlex,1.0,118,136,91,0.558282208588957
support vector machine,OpenAlex,support vector machine,OpenAIRE,1.0,595,441,336,0.48
interpretability,OpenAIRE,interpretability,OpenAlex,1.0,83,89,63,0.5779816513761468
interpretability,OpenAlex,interpretability,OpenAIRE,1.0,89,83,63,0.5779816513761468
distillation,OpenAIRE,distillation,OpenAlex,1.0,10,21,10,0.4761904761904761
softmax function,OpenAIRE,softmax function,OpenAlex,1.0,26,25,22,0.7586206896551724
scalability,OpenAIRE,scalability,OpenAlex,1.0,95,175,80,0.4210526315789473
convolutional neural network,OpenAlex,convolutional neural network,OpenAIRE,1.0,648,446,413,0.6064610866372981
softmax function,OpenAlex,softmax function,OpenAIRE,1.0,25,26,22,0.7586206896551724
wearable computer,OpenAIRE,wearable computer,OpenAlex,1.0,38,56,36,0.6206896551724138
wearable computer,OpenAlex,wearable computer,OpenAIRE,1.0,56,38,36,0.6206896551724138
robot,OpenAlex,robot,OpenAIRE,1.0,680,340,299,0.4147018030513176
pixel,OpenAlex,pixel,OpenAIRE,1.0,459,333,247,0.4532110091743119
fuzzy logic,OpenAIRE,fuzzy logic,OpenAlex,1.0,343,564,309,0.5167224080267558
fuzzy set operations,OpenAIRE,fuzzy set operations,OpenAlex,1.0,191,127,100,0.4587155963302752
fuzzy number,OpenAIRE,fuzzy number,OpenAlex,1.0,197,159,121,0.5148936170212766
fuzzy set,OpenAIRE,fuzzy set,OpenAlex,1.0,238,296,162,0.4354838709677419
fuzzy set operations,OpenAlex,fuzzy set operations,OpenAIRE,1.0,127,191,100,0.4587155963302752
fuzzy number,OpenAlex,fuzzy number,OpenAIRE,1.0,159,197,121,0.5148936170212766
type-2 fuzzy sets and systems,OpenAlex,type-2 fuzzy sets and systems,OpenAIRE,1.0,72,112,57,0.4488188976377952
fuzzy logic,OpenAlex,fuzzy logic,OpenAIRE,1.0,564,343,309,0.5167224080267558
fuzzy set,OpenAlex,fuzzy set,OpenAIRE,1.0,296,238,162,0.4354838709677419
identifiability,OpenAIRE,identifiability,OpenAlex,1.0,16,14,13,0.7647058823529411
parametric statistics,OpenAIRE,parametric statistics,OpenAlex,1.0,116,200,91,0.4044444444444444
nonparametric statistics,OpenAIRE,nonparametric statistics,OpenAlex,1.0,74,123,57,0.4071428571428571
novelty,OpenAIRE,novelty,OpenAlex,1.0,36,65,30,0.4225352112676056
novelty,OpenAlex,novelty,OpenAIRE,1.0,65,36,30,0.4225352112676056
categorical variable,OpenAIRE,categorical variable,OpenAlex,1.0,64,84,48,0.48
anomaly detection,OpenAIRE,anomaly detection,OpenAlex,1.0,89,93,71,0.6396396396396397
anomaly detection,OpenAlex,anomaly detection,OpenAIRE,1.0,93,89,71,0.6396396396396397
categorical variable,OpenAlex,categorical variable,OpenAIRE,1.0,84,64,48,0.48
socialization,OpenAIRE,socialization,OpenAlex,1.0,33,28,19,0.4523809523809524
socialization,OpenAlex,socialization,OpenAIRE,1.0,28,33,19,0.4523809523809524
friendship,OpenAlex,friendship,OpenAIRE,1.0,21,15,11,0.44
gait,OpenAIRE,gait,OpenAlex,1.0,55,56,32,0.4050632911392405
gait analysis,OpenAIRE,gait analysis,OpenAlex,1.0,18,20,11,0.4074074074074074
clinical trial,OpenAlex,clinical trial,OpenAIRE,1.0,58,65,37,0.4302325581395348
gait analysis,OpenAlex,gait analysis,OpenAIRE,1.0,20,18,11,0.4074074074074074
sorting,OpenAIRE,sorting,OpenAlex,1.0,32,48,23,0.4035087719298245
evolutionary algorithm,OpenAlex,evolutionary algorithm,OpenAIRE,1.0,107,108,65,0.4333333333333333
sorting,OpenAlex,sorting,OpenAIRE,1.0,48,32,23,0.4035087719298245
voxel,OpenAIRE,voxel,OpenAlex,1.0,85,140,76,0.5100671140939598
discretization,OpenAIRE,discretization,OpenAlex,1.0,43,44,29,0.5
discretization,OpenAlex,discretization,OpenAIRE,1.0,44,43,29,0.5
voxel,OpenAlex,voxel,OpenAIRE,1.0,140,85,76,0.5100671140939598
fusiform face area,OpenAIRE,fusiform face area,OpenAlex,1.0,14,20,12,0.5454545454545454
facial recognition system,OpenAIRE,facial recognition system,OpenAlex,1.0,210,221,147,0.5176056338028169
fusiform gyrus,OpenAlex,fusiform gyrus,OpenAIRE,1.0,10,10,9,0.8181818181818182
fusiform face area,OpenAlex,fusiform face area,OpenAIRE,1.0,20,14,12,0.5454545454545454
facial expression,OpenAlex,facial expression,OpenAIRE,1.0,90,109,69,0.5307692307692308
optimal distinctiveness theory,OpenAlex,optimal distinctiveness theory,OpenAIRE,1.0,27,19,16,0.5333333333333333
feed forward,OpenAIRE,feed forward,OpenAlex,1.0,79,85,49,0.4260869565217391
random walk,OpenAIRE,random walk,OpenAlex,1.0,33,39,23,0.4693877551020408
recurrent neural network,OpenAIRE,recurrent neural network,OpenAlex,1.0,180,175,102,0.4031620553359684
recurrent neural network,OpenAlex,recurrent neural network,OpenAIRE,1.0,175,180,102,0.4031620553359684
corporate social responsibility,OpenAIRE,corporate social responsibility,OpenAlex,1.0,47,45,39,0.7358490566037735
performative utterance,OpenAIRE,performative utterance,OpenAlex,1.0,8,11,6,0.4615384615384615
performative utterance,OpenAlex,performative utterance,OpenAIRE,1.0,11,8,6,0.4615384615384615
corporate social responsibility,OpenAlex,corporate social responsibility,OpenAIRE,1.0,45,47,39,0.7358490566037735
bigram,OpenAIRE,bigram,OpenAlex,1.0,9,9,7,0.6363636363636364
syllable,OpenAIRE,syllable,OpenAlex,1.0,16,22,14,0.5833333333333334
sentence,OpenAIRE,sentence,OpenAlex,1.0,163,230,133,0.5115384615384615
bigram,OpenAlex,bigram,OpenAIRE,1.0,9,9,7,0.6363636363636364
earnings,OpenAIRE,earnings,OpenAlex,1.0,15,19,11,0.4782608695652174
preference relation,OpenAIRE,preference relation,OpenAlex,1.0,8,14,7,0.4666666666666667
analytic hierarchy process,OpenAIRE,analytic hierarchy process,OpenAlex,1.0,49,74,42,0.5185185185185185
analytic network process,OpenAlex,analytic network process,OpenAIRE,1.0,16,18,12,0.5454545454545454
analytic hierarchy process,OpenAlex,analytic hierarchy process,OpenAIRE,1.0,74,49,42,0.5185185185185185
preference relation,OpenAlex,preference relation,OpenAIRE,1.0,14,8,7,0.4666666666666667
class size,OpenAlex,class size,OpenAIRE,1.0,9,13,9,0.6923076923076923
semantic role labeling,OpenAIRE,semantic role labeling,OpenAlex,1.0,10,8,6,0.5
adjective,OpenAIRE,adjective,OpenAlex,1.0,9,9,7,0.6363636363636364
verb,OpenAIRE,verb,OpenAlex,1.0,30,42,25,0.5319148936170213
noun,OpenAIRE,noun,OpenAlex,1.0,40,76,34,0.4146341463414634
parsing,OpenAIRE,parsing,OpenAlex,1.0,91,139,75,0.4838709677419355
