CategoryName,Source,NumberOfPapers
"""telecommunications""","""OpenAlex""",351
"""genetics""","""OpenAlex""",346
"""computer vision""","""OpenAIRE""",343
"""psychology and cognitive sciences""","""OpenAIRE""",343
"""paleontology""","""OpenAlex""",334
"""evolutionary biology""","""OpenAlex""",333
"""engineering""","""OpenAIRE""",322
"""animals""","""OpenAIRE""",319
"""social psychology""","""OpenAIRE""",319
"""politics""","""OpenAlex""",316
"""materials science""","""OpenAlex""",314
"""applications of computer vision/computer vision/image processing""","""OpenAIRE""",310
"""mathematical optimization""","""OpenAlex""",308
"""optics""","""OpenAlex""",306
"""education""","""OpenAIRE""",301
"""other engineering and technologies""","""OpenAIRE""",300
"""world wide web""","""OpenAlex""",295
"""cognition""","""OpenAlex""",293
"""control theory""","""OpenAIRE""",290
"""process (computing)""","""OpenAlex""",276
"""computer security""","""OpenAlex""",272
"""neurology & neurosurgery""","""OpenAIRE""",271
"""algorithms""","""OpenAIRE""",271
"""artificial neural network""","""OpenAIRE""",270
"""theoretical computer science""","""OpenAlex""",269
"""data science""","""OpenAlex""",261
"""control and systems engineering""","""OpenAIRE""",260
"""data mining""","""OpenAIRE""",259
"""male""","""OpenAIRE""",258
"""female""","""OpenAIRE""",254
"""multidisciplinary""","""OpenAIRE""",253
"""combinatorics""","""OpenAlex""",247
"""context (archaeology)""","""OpenAlex""",246
"""general medicine""","""OpenAIRE""",245
"""business & management""","""OpenAIRE""",245
"""marketing""","""OpenAIRE""",243
"""symbols""","""OpenAIRE""",242
"""symbols.namesake""","""OpenAIRE""",242
"""class (philosophy)""","""OpenAlex""",242
"""econometrics""","""OpenAlex""",239
"""social science""","""OpenAlex""",236
"""mechanical engineering""","""OpenAIRE""",232
"""inference""","""OpenAlex""",231
"""economics""","""OpenAIRE""",229
"""management""","""OpenAlex""",228
"""information systems""","""OpenAIRE""",226
"""population""","""OpenAlex""",226
"""finance""","""OpenAlex""",226
"""cognition""","""OpenAIRE""",221
"""marketing""","""OpenAlex""",218
"""computational theory and mathematics""","""OpenAIRE""",216
"""natural language processing""","""OpenAlex""",216
"""experimental psychology""","""OpenAIRE""",216
"""law""","""OpenAIRE""",215
"""perception""","""OpenAlex""",214
"""theoretical computer science""","""OpenAIRE""",212
"""cognitive science""","""OpenAlex""",211
"""electrical engineering""","""OpenAlex""",210
"""computer vision and pattern recognition""","""OpenAIRE""",209
"""object (grammar)""","""OpenAlex""",208
"""brain/neural circuits""","""OpenAIRE""",207
"""nonlinear system""","""OpenAlex""",207
"""industrial biotechnology""","""OpenAIRE""",205
"""industrial engineering & automation""","""OpenAIRE""",205
"""knowledge management""","""OpenAlex""",205
"""article""","""OpenAIRE""",205
"""sociology""","""OpenAIRE""",205
"""demography""","""OpenAlex""",202
"""strategy and management""","""OpenAIRE""",202
"""cognitive psychology""","""OpenAIRE""",202
"""applied mathematics""","""OpenAlex""",202
"""task (project management)""","""OpenAlex""",200
"""noise (video)""","""OpenAlex""",198
"""field (mathematics)""","""OpenAlex""",197
"""mathematical optimization""","""OpenAIRE""",197
"""physical sciences""","""OpenAIRE""",196
"""statistics and probability""","""OpenAIRE""",194
"""archaeology""","""OpenAlex""",193
"""genetics""","""OpenAIRE""",193
"""law.invention""","""OpenAIRE""",192
"""adult""","""OpenAIRE""",191
"""management science""","""OpenAlex""",190
"""computer science - computer vision and pattern recognition""","""OpenAIRE""",187
"""computer vision and pattern recognition (cs.cv)""","""OpenAIRE""",186
"""computer network""","""OpenAlex""",182
"""composite material""","""OpenAlex""",181
"""representation (politics)""","""OpenAlex""",181
"""information retrieval""","""OpenAlex""",180
"""signal processing""","""OpenAIRE""",177
"""mechanical engineering""","""OpenAlex""",177
"""cognitive neuroscience""","""OpenAIRE""",176
"""economics and econometrics""","""OpenAIRE""",174
"""thermodynamics""","""OpenAlex""",174
"""physics""","""OpenAIRE""",173
"""context (language use)""","""OpenAIRE""",171
"""function (biology)""","""OpenAlex""",171
"""deep learning""","""OpenAlex""",170
"""networking & telecommunications""","""OpenAIRE""",170
"""perspective (graphical)""","""OpenAIRE""",169
"""statistics""","""OpenAIRE""",169
"""nuclear medicine & medical imaging""","""OpenAIRE""",168
"""neuroscience""","""OpenAIRE""",167
"""medicine.medical_specialty""","""OpenAIRE""",164
"""pedagogy""","""OpenAlex""",162
"""acoustics""","""OpenAlex""",161
"""chemistry""","""OpenAIRE""",159
"""software engineering""","""OpenAIRE""",159
"""econometrics""","""OpenAIRE""",158
"""control engineering""","""OpenAlex""",158
"""geology""","""OpenAlex""",157
"""communication""","""OpenAlex""",156
"""experimental and cognitive psychology""","""OpenAIRE""",156
"""bayesian probability""","""OpenAlex""",155
"""feature (linguistics)""","""OpenAlex""",154
"""linguistics and language""","""OpenAIRE""",153
"""variety (cybernetics)""","""OpenAIRE""",151
"""power (physics)""","""OpenAlex""",151
"""ecology""","""OpenAIRE""",151
"""sociology and political science""","""OpenAIRE""",150
"""ecology, evolution, behavior and systematics""","""OpenAIRE""",148
"""medicine.anatomical_structure""","""OpenAIRE""",148
"""developmental psychology""","""OpenAlex""",147
"""robot""","""OpenAlex""",146
"""evolutionary biology""","""OpenAIRE""",146
"""pathology""","""OpenAlex""",145
"""deep learning""","""OpenAIRE""",143
"""database""","""OpenAlex""",142
"""cluster analysis""","""OpenAlex""",142
"""natural language processing""","""OpenAIRE""",141
"""molecular biology""","""OpenAIRE""",141
"""computational biology""","""OpenAlex""",141
"""convolutional neural network""","""OpenAlex""",141
"""general psychology""","""OpenAIRE""",139
"""population""","""OpenAIRE""",139
"""education.field_of_study""","""OpenAIRE""",139
"""medicine.disease""","""OpenAIRE""",136
"""biological sciences""","""OpenAIRE""",134
"""economic growth""","""OpenAlex""",133
"""machine learning (cs.lg)""","""OpenAIRE""",131
"""general neuroscience""","""OpenAIRE""",131
"""brain""","""OpenAIRE""",131
"""radiology/image segmentation""","""OpenAIRE""",131
"""cluster analysis""","""OpenAIRE""",130
"""biochemistry""","""OpenAIRE""",130
"""aerospace engineering""","""OpenAlex""",129
"""selection (genetic algorithm)""","""OpenAIRE""",128
"""computational biology""","""OpenAIRE""",127
"""statistical physics""","""OpenAlex""",125
"""human–computer interaction""","""OpenAlex""",125
"""language and linguistics""","""OpenAIRE""",125
"""microeconomics""","""OpenAlex""",124
"""medicine.diagnostic_test""","""OpenAIRE""",124
"""psychotherapist""","""OpenAlex""",124
"""similarity (geometry)""","""OpenAlex""",123
"""image processing""","""OpenAIRE""",123
"""geological & geomatics engineering""","""OpenAIRE""",123
"""nanotechnology""","""OpenAlex""",123
"""arts and humanities (miscellaneous)""","""OpenAIRE""",122
"""cognition/neuropsychological assessment""","""OpenAIRE""",122
"""developmental and educational psychology""","""OpenAIRE""",122
"""probabilistic logic""","""OpenAlex""",121
"""perception""","""OpenAIRE""",121
"""segmentation""","""OpenAlex""",121
"""general computer science""","""OpenAIRE""",121
"""contrast (vision)""","""OpenAlex""",120
"""modeling and simulation""","""OpenAIRE""",120
"""feature extraction""","""OpenAIRE""",119
"""computer simulation""","""OpenAIRE""",119
"""botany""","""OpenAlex""",118
"""software""","""OpenAlex""",118
"""process (engineering)""","""OpenAIRE""",118
"""geodesy""","""OpenAlex""",118
"""simple (philosophy)""","""OpenAlex""",117
"""developmental psychology""","""OpenAIRE""",116
"""organic chemistry""","""OpenAlex""",116
"""earth and related environmental sciences""","""OpenAIRE""",116
"""general engineering""","""OpenAIRE""",116
"""communication""","""OpenAIRE""",115
"""mathematics education""","""OpenAlex""",115
"""systems engineering""","""OpenAlex""",114
"""history""","""OpenAlex""",114
"""cognitive science""","""OpenAIRE""",114
"""radiology""","""OpenAlex""",113
"""management science and operations research""","""OpenAIRE""",113
"""visual perception""","""OpenAIRE""",113
"""management of technology and innovation""","""OpenAIRE""",111
"""set (abstract data type)""","""OpenAIRE""",111
"""fos: physical sciences""","""OpenAIRE""",110
"""reproducibility of results""","""OpenAIRE""",110
"""control theory/advanced driver assistance systems""","""OpenAIRE""",110
"""filter (signal processing)""","""OpenAlex""",110
"""nonlinear system""","""OpenAIRE""",109
"""chemical sciences""","""OpenAIRE""",109
"""general chemistry""","""OpenAIRE""",109
"""linguistics""","""OpenAIRE""",108
"""general physics and astronomy""","""OpenAIRE""",108
"""operations research""","""OpenAIRE""",108
"""magnetic resonance imaging""","""OpenAIRE""",107
"""inference""","""OpenAIRE""",107
"""anthropology""","""OpenAlex""",107
"""support vector machine""","""OpenAlex""",107
"""statistics, probability and uncertainty""","""OpenAIRE""",106
"""finance""","""OpenAIRE""",106
"""business and international management""","""OpenAIRE""",105
"""knowledge management""","""OpenAIRE""",104
"""pixel""","""OpenAlex""",104
"""classical mechanics""","""OpenAlex""",104
"""control engineering""","""OpenAIRE""",104
"""conceptualization""","""OpenAlex""",102
"""general mathematics""","""OpenAIRE""",102
"""art""","""OpenAlex""",102
"""speech recognition""","""OpenAlex""",101
"""computational mathematics""","""OpenAIRE""",101
"""models, biological""","""OpenAIRE""",101
"""psychiatry""","""OpenAlex""",100
"""stability (learning theory)""","""OpenAlex""",100
"""internal medicine""","""OpenAlex""",100
"""key (lock)""","""OpenAlex""",98
"""chromatography""","""OpenAlex""",98
"""materials science""","""OpenAIRE""",98
"""bioinformatics""","""OpenAIRE""",98
"""general & internal medicine""","""OpenAIRE""",97
"""image processing""","""OpenAlex""",97
"""operations management""","""OpenAlex""",96
"""discrete mathematics""","""OpenAlex""",96
"""services marketing/retailing""","""OpenAIRE""",95
"""convolutional neural network""","""OpenAIRE""",94
"""scale (ratio)""","""OpenAlex""",94
"""computer networks and communications""","""OpenAIRE""",93
"""data science""","""OpenAIRE""",93
"""point (geometry)""","""OpenAlex""",93
"""classifier (uml)""","""OpenAlex""",92
"""mathematical optimization/evolutionary algorithms""","""OpenAIRE""",92
"""benchmark (surveying)""","""OpenAlex""",92
"""statistics & probability""","""OpenAIRE""",92
"""support vector machine""","""OpenAIRE""",91
"""speech recognition""","""OpenAIRE""",90
"""range (aeronautics)""","""OpenAlex""",90
"""political science""","""OpenAIRE""",90
"""biometrics/authentication methods""","""OpenAIRE""",90
"""electronic engineering""","""OpenAlex""",90
"""identification (biology)""","""OpenAlex""",89
"""operations research""","""OpenAlex""",89
"""focus (optics)""","""OpenAlex""",89
"""remote sensing/imaging""","""OpenAIRE""",88
"""process management""","""OpenAlex""",88
"""field (computer science)""","""OpenAIRE""",87
"""computer.programming_language""","""OpenAIRE""",87
"""action (physics)""","""OpenAlex""",87
"""public relations""","""OpenAlex""",87
"""quality (philosophy)""","""OpenAlex""",87
"""models, neurological""","""OpenAIRE""",87
"""motion (physics)""","""OpenAlex""",86
"""robustness (evolution)""","""OpenAlex""",86
"""fuzzy logic""","""OpenAlex""",86
"""general biochemistry, genetics and molecular biology""","""OpenAIRE""",86
"""optics""","""OpenAIRE""",86
"""models, statistical""","""OpenAIRE""",86
"""risk analysis (engineering)""","""OpenAlex""",85
"""control (management)""","""OpenAIRE""",84
"""brain mapping""","""OpenAIRE""",84
"""graph""","""OpenAlex""",84
"""energy""","""OpenAIRE""",83
"""consistency (knowledge bases)""","""OpenAlex""",83
"""computation""","""OpenAlex""",82
"""computer graphics and computer-aided design""","""OpenAIRE""",82
"""natural selection""","""OpenAlex""",81
"""general agricultural and biological sciences""","""OpenAIRE""",81
"""voltage""","""OpenAlex""",81
"""environmental science""","""OpenAlex""",81
"""software engineering""","""OpenAlex""",81
"""segmentation""","""OpenAIRE""",81
"""computer graphics (images)""","""OpenAlex""",81
"""resolution (logic)""","""OpenAlex""",80
"""feature extraction""","""OpenAlex""",80
"""remote sensing""","""OpenAlex""",79
"""wireless sensor network/wireless networking""","""OpenAIRE""",79
"""medical engineering""","""OpenAIRE""",79
"""task (project management)""","""OpenAIRE""",79
"""research article""","""OpenAIRE""",78
"""condensed matter physics""","""OpenAIRE""",78
"""construct (python library)""","""OpenAlex""",78
"""mathematical economics""","""OpenAlex""",78
"""management science""","""OpenAIRE""",77
"""industrial and manufacturing engineering""","""OpenAIRE""",77
"""matching (statistics)""","""OpenAlex""",77
"""agronomy""","""OpenAlex""",77
"""nano-technology""","""OpenAIRE""",77
"""nanoscience & nanotechnology""","""OpenAIRE""",77
"""industrial organization""","""OpenAlex""",76
"""general physics""","""OpenAIRE""",76
"""fluids & plasmas""","""OpenAIRE""",76
"""object detection""","""OpenAIRE""",76
"""sensitivity and specificity""","""OpenAIRE""",76
"""astronomy""","""OpenAlex""",76
"""statistics - machine learning""","""OpenAIRE""",76
"""machine learning (stat.ml)""","""OpenAIRE""",76
"""image processing, computer-assisted""","""OpenAIRE""",76
"""sample (material)""","""OpenAlex""",75
"""general earth and planetary sciences""","""OpenAIRE""",75
"""robustness (computer science)""","""OpenAIRE""",75
"""channel (broadcasting)""","""OpenAlex""",74
"""categorization""","""OpenAlex""",74
"""adaptation (eye)""","""OpenAlex""",74
"""convergence (economics)""","""OpenAlex""",74
"""sequence (biology)""","""OpenAlex""",74
"""market economy""","""OpenAlex""",74
"""information retrieval""","""OpenAIRE""",73
"""image segmentation""","""OpenAIRE""",73
"""medicine.symptom""","""OpenAIRE""",73
"""set (psychology)""","""OpenAIRE""",73
"""estimator""","""OpenAlex""",73
"""distributed computing""","""OpenAlex""",72
"""neurons""","""OpenAIRE""",72
"""cartography""","""OpenAlex""",72
"""computer science - learning""","""OpenAIRE""",71
"""biomedical engineering""","""OpenAIRE""",71
"""wavelet""","""OpenAlex""",71
"""fuzzy logic/artificial neural networks/computational neuroscience""","""OpenAIRE""",70
"""neuropsychology and physiological psychology""","""OpenAIRE""",70
"""biotechnology""","""OpenAIRE""",70
"""quality (business)""","""OpenAIRE""",70
"""meteorology""","""OpenAlex""",69
"""radiology, nuclear medicine and imaging""","""OpenAIRE""",69
"""international business/international trade""","""OpenAIRE""",69
"""work (physics)""","""OpenAlex""",69
"""macroeconomics""","""OpenAlex""",69
"""domain (mathematical analysis)""","""OpenAlex""",69
"""information systems and management""","""OpenAIRE""",68
"""measure (data warehouse)""","""OpenAlex""",68
"""simulation""","""OpenAIRE""",68
"""library science""","""OpenAlex""",68
"""image interpretation, computer-assisted""","""OpenAIRE""",68
"""contextual image classification""","""OpenAIRE""",68
"""image segmentation""","""OpenAlex""",68
"""epistemology""","""OpenAIRE""",68
"""generalization""","""OpenAlex""",68
"""general materials science""","""OpenAIRE""",68
"""discrete mathematics""","""OpenAIRE""",68
"""aerospace & aeronautics""","""OpenAIRE""",67
"""models, genetic""","""OpenAIRE""",67
"""structural engineering""","""OpenAlex""",67
"""conceptualization""","""OpenAIRE""",67
"""structure (mathematical logic)""","""OpenAIRE""",66
"""signal (programming language)""","""OpenAlex""",66
"""mathematical analysis""","""OpenAIRE""",65
"""political science & public administration""","""OpenAIRE""",65
"""bayesian probability""","""OpenAIRE""",65
"""environmental health""","""OpenAlex""",65
"""nanotechnology""","""OpenAIRE""",65
"""natural selection""","""OpenAIRE""",65
"""simulation""","""OpenAlex""",65
"""applied psychology""","""OpenAIRE""",65
"""pattern recognition (psychology)""","""OpenAIRE""",65
"""human-computer interaction""","""OpenAIRE""",65
"""neural networks, computer""","""OpenAIRE""",64
"""child""","""OpenAIRE""",64
"""value (mathematics)""","""OpenAlex""",64
"""adolescent""","""OpenAIRE""",64
"""robot""","""OpenAIRE""",64
"""parallel computing""","""OpenAlex""",63
"""control system""","""OpenAIRE""",63
"""environmental sciences""","""OpenAIRE""",63
"""models, theoretical""","""OpenAIRE""",62
"""object detection""","""OpenAlex""",62
"""cognitive neuroscience of visual object recognition""","""OpenAIRE""",62
"""middle aged""","""OpenAIRE""",62
"""pixel""","""OpenAIRE""",62
"""controller (irrigation)""","""OpenAlex""",62
"""visualization""","""OpenAIRE""",62
"""metric (unit)""","""OpenAlex""",61
"""pattern recognition, automated""","""OpenAIRE""",61
"""learning""","""OpenAIRE""",61
"""probabilistic logic""","""OpenAIRE""",61
"""accounting""","""OpenAlex""",61
"""computer science - machine learning""","""OpenAIRE""",60
"""geography""","""OpenAIRE""",60
"""neurology""","""OpenAIRE""",60
"""biological evolution""","""OpenAIRE""",60
"""computation and language (cs.cl)""","""OpenAIRE""",60
"""computer science - computation and language""","""OpenAIRE""",60
"""corporate finance/corporate governance""","""OpenAIRE""",60
"""face (sociological concept)""","""OpenAlex""",60
"""empirical research""","""OpenAlex""",59
"""vision/stereoscopy""","""OpenAIRE""",59
"""genome""","""OpenAlex""",59
"""visual arts""","""OpenAlex""",59
"""word (group theory)""","""OpenAlex""",59
"""time factors""","""OpenAIRE""",59
"""meteorology & atmospheric sciences""","""OpenAIRE""",59
"""analytical chemistry""","""OpenAIRE""",59
"""wavelet""","""OpenAIRE""",58
"""empirical research""","""OpenAIRE""",58
"""public relations""","""OpenAIRE""",58
"""poison control""","""OpenAIRE""",58
"""feature (computer vision)""","""OpenAIRE""",58
"""semantics""","""OpenAIRE""",58
"""medical monitoring/telehealth""","""OpenAIRE""",57
"""logic and statistics/mathematical and quantitative methods (economics)""","""OpenAIRE""",57
"""attention""","""OpenAIRE""",57
"""supply chain management/business terms""","""OpenAIRE""",57
"""clinical psychology""","""OpenAlex""",57
"""topology (electrical circuits)""","""OpenAlex""",56
"""emerging technologies/quantum information science""","""OpenAIRE""",56
"""genomics/bioinformatics""","""OpenAIRE""",56
"""monte carlo method""","""OpenAIRE""",56
"""space (punctuation)""","""OpenAlex""",56
"""cryptography/information governance""","""OpenAIRE""",55
"""general business, management and accounting""","""OpenAIRE""",55
"""natural language processing/computational linguistics""","""OpenAIRE""",55
"""electronic engineering""","""OpenAIRE""",55
"""tracking (education)""","""OpenAlex""",55
"""action (philosophy)""","""OpenAIRE""",55
"""noise""","""OpenAIRE""",55
"""selection, genetic""","""OpenAIRE""",54
"""visualization""","""OpenAlex""",54
"""human–computer interaction""","""OpenAIRE""",54
"""the internet""","""OpenAlex""",54
"""models, psychological""","""OpenAIRE""",54
"""mathematical physics""","""OpenAlex""",54
"""sentence""","""OpenAlex""",54
"""statistical model""","""OpenAIRE""",54
"""representation (mathematics)""","""OpenAIRE""",54
"""statistical physics""","""OpenAIRE""",53
"""position (finance)""","""OpenAlex""",53
"""benchmark (computing)""","""OpenAIRE""",53
"""fuzzy logic""","""OpenAIRE""",53
"""biological system""","""OpenAlex""",53
"""eigenvalues and eigenvectors""","""OpenAlex""",53
"""principal component analysis""","""OpenAIRE""",53
"""reliability (semiconductor)""","""OpenAlex""",53
"""clinical psychology""","""OpenAIRE""",53
"""medline""","""OpenAIRE""",52
"""general environmental science""","""OpenAIRE""",52
"""physiology""","""OpenAIRE""",52
"""bandwidth (computing)""","""OpenAlex""",52
"""chemistry.chemical_compound""","""OpenAIRE""",52
"""organizational behavior and human resource management""","""OpenAIRE""",52
"""detector""","""OpenAlex""",52
"""heuristic""","""OpenAlex""",52
"""object (computer science)""","""OpenAIRE""",52
"""photic stimulation""","""OpenAIRE""",51
"""product (mathematics)""","""OpenAlex""",51
"""image enhancement""","""OpenAIRE""",51
"""engineering ethics""","""OpenAlex""",51
"""hardware and architecture""","""OpenAIRE""",51
"""atomic and molecular physics, and optics""","""OpenAIRE""",51
"""bayesian inference""","""OpenAlex""",51
"""remote sensing""","""OpenAIRE""",50
"""robotics""","""OpenAIRE""",50
"""psychomotor performance""","""OpenAIRE""",50
"""stimulus (psychology)""","""OpenAlex""",50
"""state (computer science)""","""OpenAlex""",50
"""curse of dimensionality""","""OpenAlex""",50
"""social media""","""OpenAlex""",50
"""image (mathematics)""","""OpenAIRE""",50
"""biology.organism_classification""","""OpenAIRE""",50
"""agricultural and veterinary sciences""","""OpenAIRE""",49
"""robotics/robots""","""OpenAIRE""",49
"""computer science - artificial intelligence""","""OpenAIRE""",49
"""artificial intelligence (cs.ai)""","""OpenAIRE""",49
"""citation""","""OpenAlex""",49
"""cognitive neuroscience of visual object recognition""","""OpenAlex""",49
"""radar""","""OpenAlex""",49
"""arithmetic""","""OpenAlex""",48
"""mechanics of materials""","""OpenAIRE""",48
"""computation""","""OpenAIRE""",48
"""frame (networking)""","""OpenAlex""",48
"""stability (learning theory)""","""OpenAIRE""",48
"""astrophysics""","""OpenAlex""",47
"""affect (linguistics)""","""OpenAlex""",47
"""class (computer programming)""","""OpenAIRE""",47
"""functional magnetic resonance imaging""","""OpenAlex""",47
"""complex system""","""OpenAlex""",47
"""aesthetics""","""OpenAlex""",47
"""data set""","""OpenAlex""",47
"""regression analysis""","""OpenAIRE""",47
"""wavelet transform""","""OpenAlex""",47
"""sampling (signal processing)""","""OpenAlex""",47
"""innovation/product management""","""OpenAIRE""",47
"""embedded system""","""OpenAlex""",47
"""health care/health care quality""","""OpenAIRE""",47
"""quantum""","""OpenAlex""",46
"""coding (social sciences)""","""OpenAlex""",46
"""pattern recognition, visual""","""OpenAIRE""",46
"""nerve net""","""OpenAIRE""",46
"""order (exchange)""","""OpenAlex""",46
"""monte carlo method""","""OpenAlex""",46
"""reaction time""","""OpenAIRE""",46
"""interpretation (philosophy)""","""OpenAlex""",46
"""neurology (clinical)""","""OpenAIRE""",46
"""nursing""","""OpenAlex""",45
"""combinatorics""","""OpenAIRE""",45
"""principal component analysis""","""OpenAlex""",45
"""electroencephalography""","""OpenAlex""",45
"""regression""","""OpenAlex""",45
"""bioinformatics""","""OpenAlex""",45
"""function (mathematics)""","""OpenAIRE""",45
"""distributed computing""","""OpenAIRE""",45
"""leadership/industrial and organizational psychology""","""OpenAIRE""",45
"""language""","""OpenAIRE""",45
"""process (computing)""","""OpenAIRE""",45
"""bayes theorem""","""OpenAIRE""",44
"""genetic variation""","""OpenAIRE""",44
"""environmental engineering""","""OpenAIRE""",44
"""fuzzy set""","""OpenAIRE""",44
"""parametric statistics""","""OpenAlex""",44
"""series (stratigraphy)""","""OpenAlex""",44
"""magnetic resonance imaging""","""OpenAlex""",44
"""relevance (law)""","""OpenAlex""",44
"""civil and structural engineering""","""OpenAIRE""",44
"""e-learning/education and training occupations""","""OpenAIRE""",44
"""radiological and ultrasound technology""","""OpenAIRE""",44
"""biophysics""","""OpenAIRE""",44
"""computer hardware""","""OpenAlex""",44
"""mobile robot""","""OpenAlex""",44
"""genetic variation""","""OpenAlex""",44
"""function (engineering)""","""OpenAIRE""",44
"""actuator""","""OpenAlex""",43
"""environmental resource management""","""OpenAlex""",43
"""flexibility (engineering)""","""OpenAlex""",43
"""fuzzy set""","""OpenAlex""",43
"""the internet""","""OpenAIRE""",43
"""relation (database)""","""OpenAlex""",43
"""chaotic""","""OpenAlex""",43
"""identification (information)""","""OpenAIRE""",43
"""electrical & electronic engineering""","""OpenAIRE""",43
"""mechanics""","""OpenAlex""",43
"""plasma physics/astrophysics""","""OpenAIRE""",43
"""pedagogy""","""OpenAIRE""",43
"""exploit""","""OpenAlex""",42
"""code (set theory)""","""OpenAlex""",42
"""adaptive control""","""OpenAIRE""",42
"""feature selection""","""OpenAlex""",42
"""proteins""","""OpenAIRE""",42
"""kalman filter""","""OpenAlex""",42
"""electroencephalography""","""OpenAIRE""",42
"""optoelectronics""","""OpenAlex""",42
"""signal processing""","""OpenAlex""",42
"""categorization""","""OpenAIRE""",42
"""reading (process)""","""OpenAlex""",42
"""alternative medicine""","""OpenAlex""",41
"""other medical science""","""OpenAIRE""",41
"""geography, planning and development""","""OpenAIRE""",41
"""memory""","""OpenAIRE""",41
"""interpolation (computer graphics)""","""OpenAlex""",41
"""library and information sciences""","""OpenAIRE""",41
"""matrix (chemical analysis)""","""OpenAlex""",41
"""oceanography""","""OpenAlex""",41
"""aged""","""OpenAIRE""",41
"""bayesian inference""","""OpenAIRE""",41
"""optimization problem""","""OpenAIRE""",41
"""computer and information sciences""","""OpenAIRE""",41
"""acoustics""","""OpenAIRE""",41
"""instrumentation""","""OpenAIRE""",41
"""humanities and the arts""","""OpenAIRE""",41
"""dimension (graph theory)""","""OpenAlex""",41
"""anatomy""","""OpenAlex""",40
"""psychoanalysis""","""OpenAlex""",40
"""key (cryptography)""","""OpenAIRE""",40
"""research design""","""OpenAIRE""",40
"""robotics""","""OpenAlex""",40
"""signal""","""OpenAIRE""",40
"""construct (philosophy)""","""OpenAIRE""",40
"""structural equation modeling""","""OpenAlex""",40
"""generative grammar""","""OpenAlex""",40
"""movement""","""OpenAIRE""",40
"""orientation (vector space)""","""OpenAlex""",40
"""genome""","""OpenAIRE""",40
"""structural biology""","""OpenAIRE""",40
"""positive economics""","""OpenAlex""",40
"""oncology & carcinogenesis""","""OpenAIRE""",39
"""organic chemistry""","""OpenAIRE""",39
"""texture (cosmology)""","""OpenAlex""",39
"""feature (machine learning)""","""OpenAIRE""",39
